====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Li   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.16
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  303720.E-08  540746.E-12
100001.E-02  304614.E-08  497792.E-09
150001.E-02  278071.E-08  146850.E-06
200001.E-02  286488.E-08  825706.E-08
250001.E-02  291659.E-08  114018.E-08
300001.E-02  293714.E-08  269274.E-08
350001.E-02  295820.E-08  294018.E-08
400001.E-02  310579.E-08  575558.E-09
450001.E-02  983922.E-09  697050.E-09
500001.E-02  127555.E-08  419504.E-07
550001.E-02  302640.E-08  409164.E-08
600001.E-02  339489.E-08  355447.E-08
650001.E-02  334979.E-08  106458.E-07
700001.E-02  412885.E-08  315718.E-07
750001.E-02  261335.E-08  279577.E-08
800001.E-02  195589.E-08  252792.E-08
850001.E-02  230862.E-08  128939.E-08
900001.E-02  281738.E-08  744890.E-09
950001.E-02  210311.E-08  293642.E-08
100000.E-01  381349.E-08  310220.E-08
105000.E-01  198551.E-08  221598.E-10
110000.E-01  190619.E-08  416152.E-09
115000.E-01  168895.E-08  966942.E-09
120000.E-01  210099.E-08  619370.E-08
125000.E-01  234880.E-08  000000.E+00
130000.E-01  246450.E-08  196449.E-07
135000.E-01  217936.E-08  183436.E-08
140000.E-01  165230.E-08  550824.E-09
145000.E-01  119897.E-08  259864.E-08
150000.E-01  182211.E-08  181736.E-08
155000.E-01  232263.E-08  526201.E-08
160000.E-01  281250.E-08  365443.E-07
165000.E-01  354980.E-08  112943.E-07
170000.E-01  321388.E-08  279530.E-08
175000.E-01  235134.E-08  146542.E-07
180000.E-01  214429.E-08  608154.E-09
185000.E-01  197577.E-08  203268.E-08
190000.E-01  167867.E-08  103434.E-08
195000.E-01  152888.E-08  000000.E+00
200000.E-01  224489.E-08  109601.E-08
205000.E-01  281816.E-08  102943.E-07
210000.E-01  271614.E-08  438226.E-08
215000.E-01  270428.E-08  305441.E-08
220000.E-01  254406.E-08  937122.E-09
225000.E-01  254333.E-08  410770.E-08
230000.E-01  215297.E-08  266019.E-08
235000.E-01  166943.E-08  258030.E-08
240000.E-01  167184.E-08  354330.E-08
245000.E-01  190573.E-08  195388.E-09
250000.E-01  296905.E-08  448573.E-08
255000.E-01  285586.E-08  219662.E-08
260000.E-01  230301.E-08  835337.E-09
265000.E-01  208579.E-08  164594.E-08
270000.E-01  263889.E-08  158175.E-07
275000.E-01  333773.E-08  123126.E-08
280000.E-01  347042.E-08  835600.E-09
285000.E-01  275252.E-08  707269.E-09
290000.E-01  253855.E-08  491331.E-09
295000.E-01  294737.E-08  673927.E-08
300000.E-01  320813.E-08  000000.E+00
305000.E-01  306608.E-08  286746.E-08
310000.E-01  256494.E-08  102585.E-08
315000.E-01  234876.E-08  566395.E-09
320000.E-01  230658.E-08  000000.E+00
325000.E-01  197198.E-08  878092.E-08
330000.E-01  259289.E-08  373947.E-09
335000.E-01  280627.E-08  359007.E-09
340000.E-01  258244.E-08  104955.E-08
345000.E-01  312334.E-08  261618.E-08
350000.E-01  352176.E-08  116919.E-08
355000.E-01  301135.E-08  538363.E-08
360000.E-01  292796.E-08  329058.E-09
365000.E-01  383573.E-08  345801.E-09
370000.E-01  374578.E-08  141510.E-08
375000.E-01  336679.E-08  735046.E-09
380000.E-01  296696.E-08  369197.E-08
385000.E-01  190075.E-08  119524.E-08
390000.E-01  150901.E-08  706783.E-08
395000.E-01  158211.E-08  760891.E-09
400000.E-01  155822.E-08  106229.E-06
405000.E-01  152356.E-08  000000.E+00
410000.E-01  168200.E-08  240115.E-07
415000.E-01  380393.E-08  375567.E-09
420000.E-01  181175.E-08  956401.E-08
425000.E-01  167681.E-08  186772.E-09
430000.E-01  190436.E-08  983611.E-08
435000.E-01  235979.E-08  136256.E-08
440000.E-01  223476.E-08  213498.E-08
445000.E-01  221280.E-08  349722.E-07
450000.E-01  191455.E-08  245287.E-08
455000.E-01  162990.E-08  873050.E-09
460000.E-01  178053.E-08  884495.E-09
465000.E-01  118003.E-08  310979.E-08
470000.E-01  138401.E-08  171104.E-07
475000.E-01  145127.E-08  180201.E-07
480000.E-01  303398.E-08  221477.E-07
485000.E-01  171854.E-08  515087.E-08
490000.E-01  189505.E-08  389003.E-08
495000.E-01  247066.E-08  502777.E-08
500000.E-01  210324.E-08  179165.E-07
