====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 4000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.02
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  142836.E-09  148147.E-12
100001.E-02  157385.E-09  243701.E-10
150001.E-02  167354.E-09  000000.E+00
200001.E-02  156351.E-09  181579.E-09
250001.E-02  155175.E-09  308535.E-10
300001.E-02  185681.E-09  253815.E-09
350001.E-02  179015.E-09  711436.E-10
400001.E-02  169266.E-09  416759.E-09
450001.E-02  330961.E-09  244175.E-09
500001.E-02  457059.E-09  279145.E-09
550001.E-02  398277.E-09  606300.E-10
600001.E-02  564369.E-09  254254.E-09
650001.E-02  735424.E-09  689992.E-10
700001.E-02  927409.E-09  290674.E-09
750001.E-02  893809.E-09  412012.E-10
800001.E-02  575872.E-09  323894.E-09
850001.E-02  415814.E-09  287734.E-09
900001.E-02  851302.E-09  394517.E-09
950001.E-02  128164.E-08  282708.E-09
100000.E-01  485709.E-09  868156.E-09
105000.E-01  327004.E-09  293756.E-10
110000.E-01  305409.E-09  114087.E-10
115000.E-01  305035.E-09  000000.E+00
120000.E-01  305035.E-09  000000.E+00
125000.E-01  305035.E-09  000000.E+00
130000.E-01  305035.E-09  000000.E+00
135000.E-01  305035.E-09  000000.E+00
140000.E-01  305035.E-09  000000.E+00
145000.E-01  305035.E-09  000000.E+00
150000.E-01  305035.E-09  000000.E+00
155000.E-01  305035.E-09  000000.E+00
160000.E-01  305035.E-09  000000.E+00
165000.E-01  305035.E-09  000000.E+00
170000.E-01  305035.E-09  000000.E+00
175000.E-01  305066.E-09  834346.E-10
180000.E-01  305068.E-09  000000.E+00
185000.E-01  305068.E-09  000000.E+00
190000.E-01  305068.E-09  000000.E+00
195000.E-01  305068.E-09  000000.E+00
200000.E-01  305068.E-09  000000.E+00
205000.E-01  305068.E-09  000000.E+00
210000.E-01  305068.E-09  000000.E+00
215000.E-01  305068.E-09  000000.E+00
220000.E-01  305068.E-09  000000.E+00
225000.E-01  216774.E-09  192843.E-09
230000.E-01  200468.E-09  000000.E+00
235000.E-01  200468.E-09  000000.E+00
240000.E-01  197696.E-09  803413.E-10
245000.E-01  194502.E-09  000000.E+00
250000.E-01  194502.E-09  000000.E+00
255000.E-01  261459.E-09  166332.E-08
260000.E-01  321231.E-09  000000.E+00
265000.E-01  321231.E-09  000000.E+00
270000.E-01  321231.E-09  000000.E+00
275000.E-01  321231.E-09  000000.E+00
280000.E-01  321231.E-09  000000.E+00
285000.E-01  321231.E-09  000000.E+00
290000.E-01  311206.E-09  637451.E-12
295000.E-01  312914.E-09  580565.E-08
300000.E-01  335266.E-09  000000.E+00
305000.E-01  335266.E-09  000000.E+00
310000.E-01  335266.E-09  000000.E+00
315000.E-01  335266.E-09  000000.E+00
320000.E-01  254614.E-09  637150.E-09
325000.E-01  109904.E-09  000000.E+00
330000.E-01  109904.E-09  000000.E+00
335000.E-01  109904.E-09  000000.E+00
340000.E-01  109904.E-09  000000.E+00
345000.E-01  109904.E-09  000000.E+00
350000.E-01  109904.E-09  000000.E+00
355000.E-01  109904.E-09  000000.E+00
360000.E-01  109904.E-09  000000.E+00
365000.E-01  109904.E-09  000000.E+00
370000.E-01  131458.E-09  148240.E-08
375000.E-01  245134.E-09  000000.E+00
380000.E-01  244056.E-09  284360.E-09
385000.E-01  243864.E-09  970462.E-12
390000.E-01  240466.E-09  310461.E-10
395000.E-01  235839.E-09  490931.E-08
400000.E-01  243373.E-09  000000.E+00
405000.E-01  219098.E-09  859513.E-09
410000.E-01  541481.E-09  206277.E-08
415000.E-01  550561.E-09  000000.E+00
420000.E-01  549825.E-09  179825.E-09
425000.E-01  618421.E-09  134320.E-07
430000.E-01  674930.E-09  592921.E-10
435000.E-01  617549.E-09  509211.E-10
440000.E-01  608621.E-09  870477.E-10
445000.E-01  407853.E-09  470801.E-09
450000.E-01  255879.E-09  206784.E-09
455000.E-01  232954.E-09  527315.E-10
460000.E-01  226082.E-09  000000.E+00
465000.E-01  293687.E-09  158750.E-09
470000.E-01  275324.E-09  259886.E-09
475000.E-01  260819.E-09  000000.E+00
480000.E-01  232820.E-09  260049.E-09
485000.E-01  181645.E-09  170578.E-09
490000.E-01  125339.E-09  251119.E-09
495000.E-01  696238.E-10  309458.E-09
500000.E-01  934687.E-10  121673.E-09
