====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 90000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  1826.36E-03  0000.00E+00
100001.E-02  1874.41E-03  0000.00E+00
150001.E-02  2059.12E-03  0000.00E+00
200001.E-02  2473.10E-03  0000.00E+00
250001.E-02  2422.03E-03  0000.00E+00
300001.E-02  2443.29E-03  0000.00E+00
350001.E-02  2164.24E-03  0000.00E+00
400001.E-02  2108.44E-03  0000.00E+00
450001.E-02  2235.15E-03  2221.97E-10
500001.E-02  1808.31E-03  2221.97E-10
550001.E-02  1948.92E-03  7086.09E-07
600001.E-02  2496.11E-03  0000.00E+00
650001.E-02  2069.87E-03  0000.00E+00
700001.E-02  1882.38E-03  0000.00E+00
750001.E-02  1532.47E-03  0000.00E+00
800001.E-02  1486.08E-03  0000.00E+00
850001.E-02  1319.85E-03  0000.00E+00
900001.E-02  1285.13E-03  0000.00E+00
950001.E-02  1982.83E-03  0000.00E+00
100000.E-01  2188.68E-03  0000.00E+00
105000.E-01  1447.86E-03  0000.00E+00
110000.E-01  1709.29E-03  0000.00E+00
115000.E-01  1769.45E-03  0000.00E+00
120000.E-01  1769.45E-03  0000.00E+00
125000.E-01  1769.45E-03  0000.00E+00
130000.E-01  1786.86E-03  0000.00E+00
135000.E-01  1822.58E-03  0000.00E+00
140000.E-01  1822.58E-03  0000.00E+00
145000.E-01  1896.80E-03  2536.95E-07
150000.E-01  1915.18E-03  0000.00E+00
155000.E-01  1915.18E-03  0000.00E+00
160000.E-01  1915.18E-03  0000.00E+00
165000.E-01  1915.18E-03  0000.00E+00
170000.E-01  1915.18E-03  0000.00E+00
175000.E-01  1915.18E-03  0000.00E+00
180000.E-01  2095.88E-03  2221.97E-10
185000.E-01  2115.60E-03  0000.00E+00
190000.E-01  2115.60E-03  0000.00E+00
195000.E-01  2115.60E-03  0000.00E+00
200000.E-01  2115.60E-03  0000.00E+00
205000.E-01  2115.60E-03  0000.00E+00
210000.E-01  2229.06E-03  2221.97E-10
215000.E-01  2121.79E-03  0000.00E+00
220000.E-01  1875.09E-03  0000.00E+00
225000.E-01  1958.59E-03  0000.00E+00
230000.E-01  2024.76E-03  0000.00E+00
235000.E-01  2024.76E-03  0000.00E+00
240000.E-01  2024.76E-03  0000.00E+00
245000.E-01  2139.64E-03  0000.00E+00
250000.E-01  2072.50E-03  0000.00E+00
255000.E-01  2103.62E-03  0000.00E+00
260000.E-01  2457.22E-03  2221.97E-10
265000.E-01  2495.05E-03  0000.00E+00
270000.E-01  2495.05E-03  0000.00E+00
275000.E-01  2495.05E-03  0000.00E+00
280000.E-01  2374.58E-03  0000.00E+00
285000.E-01  2312.82E-03  2221.97E-10
290000.E-01  2181.83E-03  2221.97E-10
295000.E-01  2251.91E-03  0000.00E+00
300000.E-01  2251.91E-03  0000.00E+00
305000.E-01  2251.96E-03  0000.00E+00
310000.E-01  2251.96E-03  0000.00E+00
315000.E-01  2032.91E-03  2221.97E-10
320000.E-01  1923.60E-03  0000.00E+00
325000.E-01  1912.08E-03  0000.00E+00
330000.E-01  1912.08E-03  0000.00E+00
335000.E-01  2119.43E-03  0000.00E+00
340000.E-01  2304.80E-03  2221.97E-10
345000.E-01  2069.64E-03  0000.00E+00
350000.E-01  2074.83E-03  0000.00E+00
355000.E-01  2117.85E-03  0000.00E+00
360000.E-01  1957.34E-03  0000.00E+00
365000.E-01  1988.84E-03  0000.00E+00
370000.E-01  1993.12E-03  0000.00E+00
375000.E-01  2237.02E-03  0000.00E+00
380000.E-01  2385.47E-03  0000.00E+00
385000.E-01  2385.47E-03  0000.00E+00
390000.E-01  2385.47E-03  0000.00E+00
395000.E-01  2385.47E-03  0000.00E+00
400000.E-01  2255.27E-03  0000.00E+00
405000.E-01  2044.20E-03  2673.54E-07
410000.E-01  2234.66E-03  2221.97E-10
415000.E-01  2353.88E-03  0000.00E+00
420000.E-01  2400.71E-03  0000.00E+00
425000.E-01  2230.48E-03  2221.97E-10
430000.E-01  2707.99E-03  0000.00E+00
435000.E-01  2834.11E-03  0000.00E+00
440000.E-01  2945.27E-03  0000.00E+00
445000.E-01  2869.62E-03  0000.00E+00
450000.E-01  2489.35E-03  0000.00E+00
455000.E-01  1896.64E-03  0000.00E+00
460000.E-01  2343.18E-03  0000.00E+00
465000.E-01  2362.90E-03  1861.00E-07
470000.E-01  2612.55E-03  0000.00E+00
475000.E-01  2922.16E-03  0000.00E+00
480000.E-01  2961.72E-03  0000.00E+00
485000.E-01  2959.67E-03  0000.00E+00
490000.E-01  2059.39E-03  0000.00E+00
495000.E-01  1906.89E-03  0000.00E+00
500000.E-01  1940.98E-03  0000.00E+00
