====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 90000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  869324.E-10  817452.E-12
100001.E-02  113776.E-09  102406.E-09
150001.E-02  104689.E-09  258813.E-10
200001.E-02  180493.E-09  138907.E-11
250001.E-02  180933.E-09  136777.E-10
300001.E-02  180310.E-09  000000.E+00
350001.E-02  205440.E-09  139992.E-09
400001.E-02  617469.E-09  255525.E-10
450001.E-02  541854.E-09  370352.E-10
500001.E-02  489513.E-09  458077.E-12
550001.E-02  138664.E-09  433228.E-08
600001.E-02  139255.E-09  193840.E-09
650001.E-02  779229.E-10  154678.E-09
700001.E-02  807159.E-10  796226.E-10
750001.E-02  983055.E-10  113542.E-10
800001.E-02  877407.E-10  593671.E-10
850001.E-02  832021.E-10  155541.E-10
900001.E-02  110434.E-09  324285.E-09
950001.E-02  267246.E-09  451200.E-09
100000.E-01  698824.E-10  109362.E-09
105000.E-01  147536.E-09  521161.E-11
110000.E-01  181677.E-09  342658.E-11
115000.E-01  189445.E-09  000000.E+00
120000.E-01  189445.E-09  000000.E+00
125000.E-01  189445.E-09  000000.E+00
130000.E-01  194141.E-09  232106.E-10
135000.E-01  203781.E-09  000000.E+00
140000.E-01  203781.E-09  000000.E+00
145000.E-01  197350.E-09  612009.E-09
150000.E-01  195757.E-09  000000.E+00
155000.E-01  195757.E-09  000000.E+00
160000.E-01  195757.E-09  000000.E+00
165000.E-01  195757.E-09  000000.E+00
170000.E-01  195757.E-09  000000.E+00
175000.E-01  195757.E-09  000000.E+00
180000.E-01  194677.E-09  135060.E-09
185000.E-01  192346.E-09  000000.E+00
190000.E-01  192346.E-09  000000.E+00
195000.E-01  192346.E-09  000000.E+00
200000.E-01  192346.E-09  000000.E+00
205000.E-01  192346.E-09  000000.E+00
210000.E-01  174601.E-09  658563.E-09
215000.E-01  161386.E-09  285353.E-11
220000.E-01  166476.E-09  000000.E+00
225000.E-01  168133.E-09  108504.E-10
230000.E-01  169446.E-09  000000.E+00
235000.E-01  169446.E-09  000000.E+00
240000.E-01  169446.E-09  000000.E+00
245000.E-01  168102.E-09  775991.E-10
250000.E-01  169896.E-09  262596.E-11
255000.E-01  169509.E-09  847692.E-10
260000.E-01  161580.E-09  222197.E-12
265000.E-01  154699.E-09  000000.E+00
270000.E-01  154699.E-09  000000.E+00
275000.E-01  154699.E-09  000000.E+00
280000.E-01  157682.E-09  198550.E-10
285000.E-01  144547.E-09  222197.E-12
290000.E-01  123608.E-09  222197.E-12
295000.E-01  157419.E-09  000000.E+00
300000.E-01  157419.E-09  000000.E+00
305000.E-01  151435.E-09  953908.E-10
310000.E-01  151347.E-09  000000.E+00
315000.E-01  115904.E-09  864711.E-10
320000.E-01  813143.E-10  175396.E-10
325000.E-01  824074.E-10  000000.E+00
330000.E-01  824074.E-10  000000.E+00
335000.E-01  873459.E-10  253338.E-10
340000.E-01  933388.E-10  734793.E-12
345000.E-01  111810.E-09  000000.E+00
350000.E-01  111625.E-09  659812.E-10
355000.E-01  190358.E-09  252028.E-09
360000.E-01  108321.E-09  000000.E+00
365000.E-01  109880.E-09  100789.E-09
370000.E-01  100621.E-09  450543.E-09
375000.E-01  889635.E-10  189533.E-10
380000.E-01  896038.E-10  000000.E+00
385000.E-01  896038.E-10  000000.E+00
390000.E-01  896038.E-10  000000.E+00
395000.E-01  896038.E-10  000000.E+00
400000.E-01  934464.E-10  940944.E-10
405000.E-01  965362.E-10  106719.E-08
410000.E-01  890822.E-10  482114.E-10
415000.E-01  881172.E-10  789707.E-11
420000.E-01  905264.E-10  116102.E-11
425000.E-01  979095.E-10  126536.E-09
430000.E-01  829508.E-10  246012.E-10
435000.E-01  866320.E-10  212778.E-10
440000.E-01  916398.E-10  198432.E-10
445000.E-01  953862.E-10  158952.E-09
450000.E-01  102938.E-09  178000.E-09
455000.E-01  140023.E-09  113815.E-09
460000.E-01  201225.E-09  281654.E-10
465000.E-01  120994.E-09  670979.E-09
470000.E-01  864076.E-10  241209.E-09
475000.E-01  173976.E-09  149195.E-09
480000.E-01  143055.E-09  107773.E-09
485000.E-01  138847.E-09  135031.E-09
490000.E-01  155511.E-09  146052.E-09
495000.E-01  124395.E-09  353894.E-09
500000.E-01  117426.E-09  182208.E-09
