====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 40000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  2961.83E-03  0000.00E+00
100001.E-02  2755.61E-03  0000.00E+00
150001.E-02  2799.52E-03  0000.00E+00
200001.E-02  2782.78E-03  0000.00E+00
250001.E-02  3077.84E-03  0000.00E+00
300001.E-02  3356.86E-03  0000.00E+00
350001.E-02  3345.42E-03  5345.16E-08
400001.E-02  3679.99E-03  0000.00E+00
450001.E-02  3856.78E-03  0000.00E+00
500001.E-02  3858.11E-03  0000.00E+00
550001.E-02  3897.73E-03  2221.33E-10
600001.E-02  3972.85E-03  0000.00E+00
650001.E-02  3871.59E-03  0000.00E+00
700001.E-02  3928.57E-03  1590.94E-07
750001.E-02  4470.71E-03  3684.83E-09
800001.E-02  4168.31E-03  0000.00E+00
850001.E-02  3755.85E-03  0000.00E+00
900001.E-02  3552.55E-03  0000.00E+00
950001.E-02  4429.53E-03  0000.00E+00
100000.E-01  4182.15E-03  0000.00E+00
105000.E-01  3568.86E-03  0000.00E+00
110000.E-01  3564.93E-03  0000.00E+00
115000.E-01  3564.93E-03  0000.00E+00
120000.E-01  3573.40E-03  0000.00E+00
125000.E-01  3579.26E-03  0000.00E+00
130000.E-01  3579.26E-03  0000.00E+00
135000.E-01  3579.26E-03  0000.00E+00
140000.E-01  3579.26E-03  0000.00E+00
145000.E-01  3579.26E-03  0000.00E+00
150000.E-01  3631.46E-03  0000.00E+00
155000.E-01  3639.42E-03  0000.00E+00
160000.E-01  3639.42E-03  0000.00E+00
165000.E-01  3639.42E-03  0000.00E+00
170000.E-01  3639.42E-03  0000.00E+00
175000.E-01  3639.42E-03  0000.00E+00
180000.E-01  3549.15E-03  0000.00E+00
185000.E-01  3466.58E-03  0000.00E+00
190000.E-01  3466.58E-03  0000.00E+00
195000.E-01  3466.58E-03  0000.00E+00
200000.E-01  3466.58E-03  0000.00E+00
205000.E-01  3466.58E-03  0000.00E+00
210000.E-01  3466.58E-03  0000.00E+00
215000.E-01  3466.58E-03  0000.00E+00
220000.E-01  3466.58E-03  0000.00E+00
225000.E-01  3466.58E-03  0000.00E+00
230000.E-01  3466.58E-03  0000.00E+00
235000.E-01  3634.42E-03  8396.70E-06
240000.E-01  3903.49E-03  0000.00E+00
245000.E-01  3831.99E-03  2221.33E-10
250000.E-01  3655.18E-03  0000.00E+00
255000.E-01  3655.18E-03  0000.00E+00
260000.E-01  3655.18E-03  0000.00E+00
265000.E-01  3723.29E-03  1014.48E-07
270000.E-01  3812.57E-03  0000.00E+00
275000.E-01  3826.23E-03  0000.00E+00
280000.E-01  3735.34E-03  0000.00E+00
285000.E-01  3714.98E-03  0000.00E+00
290000.E-01  3534.59E-03  0000.00E+00
295000.E-01  3384.78E-03  0000.00E+00
300000.E-01  3384.78E-03  0000.00E+00
305000.E-01  3458.98E-03  1317.09E-07
310000.E-01  3585.38E-03  0000.00E+00
315000.E-01  3585.38E-03  0000.00E+00
320000.E-01  3329.02E-03  1205.20E-07
325000.E-01  3282.32E-03  0000.00E+00
330000.E-01  3565.12E-03  0000.00E+00
335000.E-01  3570.19E-03  0000.00E+00
340000.E-01  3701.51E-03  3842.09E-08
345000.E-01  3856.38E-03  0000.00E+00
350000.E-01  3852.02E-03  1205.20E-07
355000.E-01  3572.06E-03  0000.00E+00
360000.E-01  3519.82E-03  2221.33E-10
365000.E-01  3015.46E-03  2221.33E-10
370000.E-01  3118.01E-03  0000.00E+00
375000.E-01  3932.62E-03  0000.00E+00
380000.E-01  4434.86E-03  0000.00E+00
385000.E-01  4219.86E-03  0000.00E+00
390000.E-01  3706.64E-03  0000.00E+00
395000.E-01  3535.99E-03  2221.33E-10
400000.E-01  3353.58E-03  7438.18E-08
405000.E-01  3510.98E-03  0000.00E+00
410000.E-01  3684.12E-03  0000.00E+00
415000.E-01  3749.78E-03  3209.07E-07
420000.E-01  2704.51E-03  0000.00E+00
425000.E-01  2930.49E-03  2221.33E-10
430000.E-01  3458.42E-03  0000.00E+00
435000.E-01  4148.82E-03  0000.00E+00
440000.E-01  3904.58E-03  8294.12E-08
445000.E-01  3871.42E-03  0000.00E+00
450000.E-01  3891.59E-03  0000.00E+00
455000.E-01  3776.08E-03  2335.24E-05
460000.E-01  3463.72E-03  1955.82E-07
465000.E-01  3944.30E-03  0000.00E+00
470000.E-01  3401.07E-03  2221.33E-10
475000.E-01  3165.17E-03  0000.00E+00
480000.E-01  3874.26E-03  0000.00E+00
485000.E-01  3880.00E-03  0000.00E+00
490000.E-01  3078.30E-03  8036.32E-08
495000.E-01  3464.94E-03  2221.33E-10
500000.E-01  3713.56E-03  1205.20E-07
