====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 40000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  408898.E-09  203895.E-10
100001.E-02  397339.E-09  723273.E-10
150001.E-02  395021.E-09  000000.E+00
200001.E-02  427226.E-09  186234.E-10
250001.E-02  452947.E-09  422386.E-10
300001.E-02  467280.E-09  000000.E+00
350001.E-02  471991.E-09  269158.E-09
400001.E-02  378565.E-09  112299.E-09
450001.E-02  369972.E-09  139919.E-09
500001.E-02  351514.E-09  000000.E+00
550001.E-02  353570.E-09  162004.E-10
600001.E-02  381229.E-09  169255.E-09
650001.E-02  374141.E-09  256319.E-10
700001.E-02  213243.E-09  570358.E-09
750001.E-02  176349.E-09  367293.E-09
800001.E-02  209809.E-09  153862.E-09
850001.E-02  223021.E-09  372643.E-09
900001.E-02  416477.E-09  297905.E-09
950001.E-02  264597.E-09  658779.E-09
100000.E-01  321648.E-09  371237.E-09
105000.E-01  131084.E-09  129311.E-11
110000.E-01  130870.E-09  000000.E+00
115000.E-01  130870.E-09  000000.E+00
120000.E-01  131267.E-09  261830.E-10
125000.E-01  131543.E-09  000000.E+00
130000.E-01  131543.E-09  000000.E+00
135000.E-01  131543.E-09  000000.E+00
140000.E-01  131543.E-09  000000.E+00
145000.E-01  131543.E-09  000000.E+00
150000.E-01  168164.E-09  782483.E-10
155000.E-01  173749.E-09  000000.E+00
160000.E-01  173749.E-09  000000.E+00
165000.E-01  173749.E-09  000000.E+00
170000.E-01  173749.E-09  000000.E+00
175000.E-01  173749.E-09  000000.E+00
180000.E-01  193098.E-09  100934.E-09
185000.E-01  210800.E-09  000000.E+00
190000.E-01  210800.E-09  000000.E+00
195000.E-01  210800.E-09  000000.E+00
200000.E-01  210800.E-09  000000.E+00
205000.E-01  210800.E-09  000000.E+00
210000.E-01  210800.E-09  000000.E+00
215000.E-01  210800.E-09  000000.E+00
220000.E-01  210800.E-09  000000.E+00
225000.E-01  210800.E-09  000000.E+00
230000.E-01  210800.E-09  000000.E+00
235000.E-01  211440.E-09  246643.E-07
240000.E-01  213452.E-09  000000.E+00
245000.E-01  213837.E-09  242812.E-10
250000.E-01  213560.E-09  000000.E+00
255000.E-01  213560.E-09  000000.E+00
260000.E-01  213560.E-09  000000.E+00
265000.E-01  210548.E-09  194450.E-09
270000.E-01  206600.E-09  000000.E+00
275000.E-01  199332.E-09  195943.E-09
280000.E-01  242394.E-09  733639.E-10
285000.E-01  251491.E-09  000000.E+00
290000.E-01  234281.E-09  194450.E-09
295000.E-01  219987.E-09  000000.E+00
300000.E-01  219987.E-09  000000.E+00
305000.E-01  200999.E-09  194450.E-09
310000.E-01  168651.E-09  000000.E+00
315000.E-01  168651.E-09  000000.E+00
320000.E-01  148050.E-09  194450.E-09
325000.E-01  144297.E-09  000000.E+00
330000.E-01  262095.E-09  878594.E-10
335000.E-01  264203.E-09  000000.E+00
340000.E-01  257031.E-09  388471.E-09
345000.E-01  244119.E-09  000000.E+00
350000.E-01  244080.E-09  194450.E-09
355000.E-01  241575.E-09  000000.E+00
360000.E-01  305369.E-09  128345.E-09
365000.E-01  459115.E-09  155593.E-10
370000.E-01  455190.E-09  568644.E-10
375000.E-01  499612.E-09  154840.E-10
380000.E-01  525844.E-09  325680.E-09
385000.E-01  451256.E-09  473684.E-10
390000.E-01  444165.E-09  000000.E+00
395000.E-01  435994.E-09  333701.E-10
400000.E-01  335342.E-09  194450.E-09
405000.E-01  247401.E-09  517120.E-09
410000.E-01  299554.E-09  396252.E-10
415000.E-01  394177.E-09  397098.E-08
420000.E-01  637101.E-09  215478.E-10
425000.E-01  941066.E-09  163225.E-09
430000.E-01  106957.E-08  550433.E-10
435000.E-01  689875.E-09  480693.E-09
440000.E-01  421546.E-09  302373.E-09
445000.E-01  468319.E-09  478167.E-10
450000.E-01  703901.E-09  147820.E-10
455000.E-01  403292.E-09  580746.E-07
460000.E-01  268103.E-09  809010.E-09
465000.E-01  664048.E-09  779115.E-10
470000.E-01  406457.E-09  307172.E-10
475000.E-01  191021.E-09  194450.E-09
480000.E-01  273358.E-09  291388.E-09
485000.E-01  627966.E-09  101351.E-09
490000.E-01  812648.E-09  364762.E-09
495000.E-01  431458.E-09  196105.E-09
500000.E-01  834098.E-09  850582.E-09
