====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Li   Energy = 4000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.62
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  120305.E-07  563237.E-09
100001.E-02  738785.E-08  194455.E-08
150001.E-02  533880.E-08  659961.E-08
200001.E-02  721152.E-08  929734.E-09
250001.E-02  612607.E-08  308081.E-08
300001.E-02  768775.E-08  901221.E-07
350001.E-02  736572.E-08  548094.E-08
400001.E-02  621124.E-08  102515.E-07
450001.E-02  480491.E-08  205806.E-08
500001.E-02  563655.E-08  257334.E-08
550001.E-02  333353.E-08  112363.E-07
600001.E-02  256338.E-08  447949.E-08
650001.E-02  364606.E-08  155004.E-07
700001.E-02  573222.E-08  919737.E-07
750001.E-02  501571.E-08  159326.E-07
800001.E-02  447579.E-08  487533.E-08
850001.E-02  737806.E-08  103911.E-07
900001.E-02  813064.E-08  317815.E-08
950001.E-02  456286.E-08  177672.E-07
100000.E-01  772341.E-08  522402.E-08
105000.E-01  581515.E-08  821001.E-09
110000.E-01  558080.E-08  616274.E-08
115000.E-01  446121.E-08  278547.E-08
120000.E-01  438641.E-08  963692.E-08
125000.E-01  376141.E-08  177548.E-07
130000.E-01  504604.E-08  125696.E-07
135000.E-01  651829.E-08  108745.E-07
140000.E-01  560878.E-08  178164.E-07
145000.E-01  394750.E-08  173661.E-08
150000.E-01  444073.E-08  291919.E-08
155000.E-01  963808.E-08  414563.E-07
160000.E-01  499000.E-08  790595.E-08
165000.E-01  628006.E-08  149464.E-07
170000.E-01  458044.E-08  306700.E-08
175000.E-01  301141.E-08  319422.E-07
180000.E-01  536057.E-08  724506.E-08
185000.E-01  421369.E-08  668625.E-08
190000.E-01  620043.E-08  250281.E-07
195000.E-01  506811.E-08  229445.E-07
200000.E-01  479837.E-08  946491.E-08
205000.E-01  554725.E-08  989272.E-08
210000.E-01  642540.E-08  361561.E-08
215000.E-01  902766.E-08  846572.E-08
220000.E-01  495648.E-08  928810.E-09
225000.E-01  485633.E-08  604481.E-08
230000.E-01  492328.E-08  568907.E-07
235000.E-01  639071.E-08  234977.E-08
240000.E-01  626390.E-08  152041.E-07
245000.E-01  531250.E-08  217076.E-08
250000.E-01  450891.E-08  560387.E-07
255000.E-01  704558.E-08  446068.E-07
260000.E-01  654634.E-08  209946.E-07
265000.E-01  745800.E-08  970099.E-08
270000.E-01  523416.E-08  385446.E-08
275000.E-01  499002.E-08  681756.E-08
280000.E-01  762938.E-08  160749.E-07
285000.E-01  777722.E-08  193231.E-08
290000.E-01  799319.E-08  285635.E-07
295000.E-01  743624.E-08  492304.E-08
300000.E-01  622689.E-08  912316.E-08
305000.E-01  675970.E-08  727969.E-08
310000.E-01  917631.E-08  459048.E-08
315000.E-01  481858.E-08  215482.E-07
320000.E-01  395225.E-08  694553.E-08
325000.E-01  953330.E-08  233984.E-07
330000.E-01  845139.E-08  127968.E-07
335000.E-01  735810.E-08  585405.E-08
340000.E-01  681687.E-08  483343.E-08
345000.E-01  518752.E-08  140256.E-07
350000.E-01  557628.E-08  221318.E-08
355000.E-01  670703.E-08  238147.E-07
360000.E-01  932460.E-08  130532.E-07
365000.E-01  704234.E-08  197260.E-07
370000.E-01  543466.E-08  980976.E-08
375000.E-01  844578.E-08  128925.E-07
380000.E-01  734165.E-08  540048.E-08
385000.E-01  607798.E-08  214106.E-07
390000.E-01  625947.E-08  441383.E-08
395000.E-01  673228.E-08  120760.E-07
400000.E-01  782660.E-08  481107.E-07
405000.E-01  741344.E-08  695315.E-08
410000.E-01  418033.E-08  799991.E-07
415000.E-01  576309.E-08  103822.E-07
420000.E-01  885881.E-08  253806.E-07
425000.E-01  798156.E-08  207703.E-07
430000.E-01  698329.E-08  334991.E-08
435000.E-01  830541.E-08  862804.E-08
440000.E-01  502514.E-08  461491.E-08
445000.E-01  789224.E-08  347218.E-07
450000.E-01  730876.E-08  309199.E-08
455000.E-01  451574.E-08  245757.E-07
460000.E-01  649374.E-08  227842.E-07
465000.E-01  814003.E-08  242690.E-07
470000.E-01  779929.E-08  446062.E-08
475000.E-01  626832.E-08  898427.E-08
480000.E-01  662349.E-08  836391.E-07
485000.E-01  888463.E-08  172746.E-07
490000.E-01  107881.E-07  135670.E-07
495000.E-01  128439.E-07  902572.E-08
500000.E-01  106269.E-07  226274.E-07
