====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Li   Energy = 4000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.62
 Total Target Vacancies     = 30 /Ion
 Total Target Displacements = 33 /Ion
 Total Target Replacement Collisions = 3 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Li           Al           Si            O           Si       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  -----------  
500010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  2079.90E-07  2079.90E-07  2079.90E-07  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
250001.E-02  2079.90E-07  0000.00E+00  2079.90E-07  0000.00E+00  0000.00E+00  
300001.E-02  2079.90E-07  4159.81E-07  1663.92E-06  6239.71E-07  0000.00E+00  
350001.E-02  2079.90E-07  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  2079.90E-07  2079.90E-07  0000.00E+00  2079.90E-07  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  2079.90E-07  0000.00E+00  0000.00E+00  4159.81E-07  0000.00E+00  
600001.E-02  2079.90E-07  0000.00E+00  2079.90E-07  0000.00E+00  0000.00E+00  
650001.E-02  2079.90E-07  4159.81E-07  4159.81E-07  0000.00E+00  0000.00E+00  
700001.E-02  6239.71E-07  4159.81E-07  2703.87E-06  8319.61E-07  0000.00E+00  
750001.E-02  2079.90E-07  0000.00E+00  4159.81E-07  0000.00E+00  0000.00E+00  
800001.E-02  2079.90E-07  0000.00E+00  2079.90E-07  0000.00E+00  0000.00E+00  
850001.E-02  4159.81E-07  0000.00E+00  4159.81E-07  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
950001.E-02  2079.90E-07  0000.00E+00  2079.90E-07  2079.90E-07  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
105000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
110000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
115000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  6239.71E-07  
125000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  8319.61E-07  
130000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  6239.71E-07  
135000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
140000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  8319.61E-07  
145000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
155000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  1871.91E-06  
160000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
165000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  6239.71E-07  
170000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
175000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  1247.94E-06  
180000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
185000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
190000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
195000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  8319.61E-07  
200000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
205000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
210000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
215000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
220000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
225000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
230000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  1871.91E-06  
235000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
240000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  8319.61E-07  
245000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
250000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2287.89E-06  
255000.E-01  8319.61E-07  0000.00E+00  0000.00E+00  0000.00E+00  2495.88E-06  
260000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  1039.95E-06  
265000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
270000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
275000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
280000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  8319.61E-07  
285000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
290000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  1663.92E-06  
295000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
300000.E-01  2079.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  2079.90E-07  
305000.E-01  4159.81E-07  0000.00E+00  0000.00E+00  0000.00E+00  4159.81E-07  
