====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 20000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  986742.E-10  393244.E-11
100001.E-02  943429.E-10  789923.E-10
150001.E-02  657410.E-10  212416.E-11
200001.E-02  705767.E-10  165324.E-10
250001.E-02  713849.E-10  337617.E-10
300001.E-02  420070.E-10  213424.E-09
350001.E-02  450650.E-10  512674.E-10
400001.E-02  423598.E-10  692594.E-11
450001.E-02  426021.E-10  410639.E-10
500001.E-02  415083.E-10  541448.E-10
550001.E-02  341016.E-10  640962.E-11
600001.E-02  334998.E-10  110005.E-10
650001.E-02  661026.E-10  348234.E-10
700001.E-02  583378.E-10  495723.E-10
750001.E-02  653107.E-10  167340.E-09
800001.E-02  458730.E-10  468452.E-10
850001.E-02  407498.E-10  419220.E-11
900001.E-02  235542.E-10  125758.E-09
950001.E-02  229406.E-10  491289.E-10
100000.E-01  171044.E-09  178503.E-09
105000.E-01  329780.E-10  399576.E-12
110000.E-01  325055.E-10  386011.E-11
115000.E-01  322349.E-10  109837.E-10
120000.E-01  308782.E-10  000000.E+00
125000.E-01  308782.E-10  000000.E+00
130000.E-01  308782.E-10  000000.E+00
135000.E-01  308782.E-10  000000.E+00
140000.E-01  308782.E-10  000000.E+00
145000.E-01  307062.E-10  117265.E-10
150000.E-01  297201.E-10  103803.E-10
155000.E-01  229271.E-10  161106.E-09
160000.E-01  229940.E-10  175531.E-10
165000.E-01  415768.E-10  437159.E-11
170000.E-01  414297.E-10  000000.E+00
175000.E-01  414297.E-10  000000.E+00
180000.E-01  411205.E-10  555629.E-10
185000.E-01  412946.E-10  000000.E+00
190000.E-01  412946.E-10  000000.E+00
195000.E-01  412946.E-10  000000.E+00
200000.E-01  413710.E-10  227332.E-10
205000.E-01  407104.E-10  123305.E-10
210000.E-01  400532.E-10  000000.E+00
215000.E-01  400532.E-10  000000.E+00
220000.E-01  403395.E-10  332710.E-11
225000.E-01  409163.E-10  000000.E+00
230000.E-01  409163.E-10  000000.E+00
235000.E-01  409163.E-10  000000.E+00
240000.E-01  409163.E-10  000000.E+00
245000.E-01  409163.E-10  000000.E+00
250000.E-01  415316.E-10  122144.E-07
255000.E-01  423259.E-10  431551.E-10
260000.E-01  422323.E-10  000000.E+00
265000.E-01  423724.E-10  250049.E-10
270000.E-01  425535.E-10  000000.E+00
275000.E-01  425535.E-10  000000.E+00
280000.E-01  420698.E-10  722481.E-10
285000.E-01  519909.E-10  324469.E-11
290000.E-01  612297.E-10  124771.E-09
295000.E-01  646106.E-10  000000.E+00
300000.E-01  675572.E-10  442617.E-10
305000.E-01  800047.E-10  000000.E+00
310000.E-01  770054.E-10  267655.E-10
315000.E-01  760774.E-10  000000.E+00
320000.E-01  629867.E-10  873324.E-10
325000.E-01  580351.E-10  000000.E+00
330000.E-01  729190.E-10  456770.E-11
335000.E-01  696305.E-10  222190.E-12
340000.E-01  505175.E-10  000000.E+00
345000.E-01  500207.E-10  145971.E-09
350000.E-01  496100.E-10  776993.E-11
355000.E-01  514080.E-10  235620.E-09
360000.E-01  422029.E-10  000000.E+00
365000.E-01  424654.E-10  672377.E-11
370000.E-01  418339.E-10  100549.E-09
375000.E-01  430488.E-10  930407.E-12
380000.E-01  432490.E-10  000000.E+00
385000.E-01  472557.E-10  215886.E-10
390000.E-01  521048.E-10  000000.E+00
395000.E-01  503152.E-10  288506.E-10
400000.E-01  400836.E-10  124335.E-10
405000.E-01  309327.E-10  268702.E-10
410000.E-01  325912.E-10  000000.E+00
415000.E-01  325912.E-10  000000.E+00
420000.E-01  325928.E-10  681635.E-11
425000.E-01  341855.E-10  000000.E+00
430000.E-01  344446.E-10  103816.E-10
435000.E-01  322845.E-10  899430.E-10
440000.E-01  271054.E-10  109951.E-10
445000.E-01  277154.E-10  369248.E-10
450000.E-01  289098.E-10  314370.E-11
455000.E-01  207932.E-10  170191.E-09
460000.E-01  162326.E-10  000000.E+00
465000.E-01  225886.E-10  180238.E-10
470000.E-01  227546.E-10  531106.E-10
475000.E-01  158019.E-10  106009.E-09
480000.E-01  224812.E-10  129506.E-10
485000.E-01  554226.E-10  223279.E-10
490000.E-01  408627.E-10  511181.E-10
495000.E-01  452162.E-10  599479.E-10
500000.E-01  131635.E-09  229749.E-09
