====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 50000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  283832.E-09  290309.E-11
100001.E-02  391332.E-09  204328.E-10
150001.E-02  584215.E-09  126506.E-09
200001.E-02  699671.E-09  754335.E-10
250001.E-02  766812.E-09  000000.E+00
300001.E-02  629052.E-09  947568.E-10
350001.E-02  145187.E-08  760207.E-11
400001.E-02  182137.E-08  557050.E-09
450001.E-02  170992.E-08  227170.E-10
500001.E-02  164336.E-08  784286.E-10
550001.E-02  163871.E-08  169239.E-09
600001.E-02  710680.E-09  285440.E-09
650001.E-02  413917.E-09  727222.E-10
700001.E-02  421072.E-09  636440.E-10
750001.E-02  365073.E-09  375420.E-09
800001.E-02  327289.E-09  106051.E-09
850001.E-02  357755.E-09  203567.E-09
900001.E-02  318205.E-09  254369.E-09
950001.E-02  118078.E-09  321605.E-09
100000.E-01  228748.E-09  261464.E-09
105000.E-01  126350.E-09  553070.E-13
110000.E-01  128270.E-09  126612.E-10
115000.E-01  135410.E-09  157483.E-10
120000.E-01  135693.E-09  000000.E+00
125000.E-01  135693.E-09  000000.E+00
130000.E-01  135693.E-09  000000.E+00
135000.E-01  135693.E-09  000000.E+00
140000.E-01  135693.E-09  000000.E+00
145000.E-01  135693.E-09  000000.E+00
150000.E-01  135693.E-09  000000.E+00
155000.E-01  135693.E-09  000000.E+00
160000.E-01  135693.E-09  000000.E+00
165000.E-01  127202.E-09  209413.E-09
170000.E-01  111440.E-09  000000.E+00
175000.E-01  112053.E-09  103459.E-09
180000.E-01  110810.E-09  209413.E-09
185000.E-01  104840.E-09  000000.E+00
190000.E-01  106482.E-09  201967.E-09
195000.E-01  120556.E-09  000000.E+00
200000.E-01  120556.E-09  000000.E+00
205000.E-01  129324.E-09  126916.E-09
210000.E-01  150070.E-09  000000.E+00
215000.E-01  150070.E-09  000000.E+00
220000.E-01  150070.E-09  000000.E+00
225000.E-01  150070.E-09  000000.E+00
230000.E-01  150070.E-09  000000.E+00
235000.E-01  150070.E-09  000000.E+00
240000.E-01  150070.E-09  000000.E+00
245000.E-01  150070.E-09  000000.E+00
250000.E-01  150961.E-09  216297.E-09
255000.E-01  152174.E-09  000000.E+00
260000.E-01  152174.E-09  000000.E+00
265000.E-01  152174.E-09  000000.E+00
270000.E-01  152174.E-09  000000.E+00
275000.E-01  152174.E-09  000000.E+00
280000.E-01  154455.E-09  209413.E-09
285000.E-01  167741.E-09  209413.E-09
290000.E-01  182698.E-09  787981.E-09
295000.E-01  180623.E-09  000000.E+00
300000.E-01  197106.E-09  480471.E-11
305000.E-01  198185.E-09  000000.E+00
310000.E-01  198185.E-09  000000.E+00
315000.E-01  198185.E-09  000000.E+00
320000.E-01  198185.E-09  000000.E+00
325000.E-01  198185.E-09  000000.E+00
330000.E-01  198185.E-09  000000.E+00
335000.E-01  198185.E-09  000000.E+00
340000.E-01  215262.E-09  175609.E-09
345000.E-01  216918.E-09  000000.E+00
350000.E-01  216918.E-09  000000.E+00
355000.E-01  220302.E-09  276302.E-08
360000.E-01  224991.E-09  000000.E+00
365000.E-01  224991.E-09  000000.E+00
370000.E-01  226673.E-09  232258.E-09
375000.E-01  229246.E-09  000000.E+00
380000.E-01  223157.E-09  519374.E-09
385000.E-01  245395.E-09  326728.E-10
390000.E-01  261222.E-09  000000.E+00
395000.E-01  236762.E-09  209413.E-09
400000.E-01  203165.E-09  657127.E-11
405000.E-01  184256.E-09  167895.E-09
410000.E-01  184979.E-09  165112.E-09
415000.E-01  209076.E-09  233197.E-09
420000.E-01  242493.E-09  126444.E-09
425000.E-01  244566.E-09  303234.E-09
430000.E-01  274450.E-09  183171.E-08
435000.E-01  297347.E-09  114407.E-09
440000.E-01  283576.E-09  363713.E-09
445000.E-01  266654.E-09  824513.E-10
450000.E-01  295587.E-09  531785.E-10
455000.E-01  275666.E-09  221369.E-09
460000.E-01  347293.E-09  826426.E-09
465000.E-01  307010.E-09  624876.E-10
470000.E-01  306011.E-09  315286.E-09
475000.E-01  337923.E-09  171048.E-10
480000.E-01  359325.E-09  145058.E-09
485000.E-01  321954.E-09  400096.E-09
490000.E-01  333486.E-09  849832.E-10
495000.E-01  213820.E-09  129776.E-09
500000.E-01  155070.E-09  237766.E-09
