====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 60000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  289218.E-10  168129.E-11
100001.E-02  302416.E-10  249081.E-11
150001.E-02  295849.E-10  252020.E-11
200001.E-02  296532.E-10  526777.E-11
250001.E-02  300423.E-10  246261.E-11
300001.E-02  279238.E-10  435245.E-10
350001.E-02  237385.E-10  347977.E-12
400001.E-02  243197.E-10  278594.E-10
450001.E-02  225275.E-10  394257.E-11
500001.E-02  226684.E-10  299194.E-11
550001.E-02  285993.E-10  476902.E-11
600001.E-02  336076.E-10  550932.E-11
650001.E-02  359778.E-10  317733.E-10
700001.E-02  366921.E-10  355481.E-10
750001.E-02  323904.E-10  459860.E-11
800001.E-02  255449.E-10  272775.E-10
850001.E-02  112614.E-10  345173.E-11
900001.E-02  141969.E-10  383715.E-10
950001.E-02  159971.E-10  234763.E-10
100000.E-01  221447.E-10  282985.E-10
105000.E-01  119222.E-10  226901.E-14
110000.E-01  119981.E-10  115779.E-11
115000.E-01  121079.E-10  435432.E-12
120000.E-01  121316.E-10  000000.E+00
125000.E-01  117197.E-10  466909.E-11
130000.E-01  117847.E-10  614834.E-12
135000.E-01  117987.E-10  000000.E+00
140000.E-01  117987.E-10  000000.E+00
145000.E-01  117492.E-10  549254.E-11
150000.E-01  105445.E-10  363518.E-10
155000.E-01  804274.E-11  000000.E+00
160000.E-01  804274.E-11  000000.E+00
165000.E-01  804274.E-11  000000.E+00
170000.E-01  984733.E-11  697531.E-11
175000.E-01  110227.E-10  581477.E-12
180000.E-01  119436.E-10  000000.E+00
185000.E-01  122403.E-10  100491.E-10
190000.E-01  125375.E-10  000000.E+00
195000.E-01  120088.E-10  194827.E-10
200000.E-01  118252.E-10  000000.E+00
205000.E-01  118252.E-10  000000.E+00
210000.E-01  118810.E-10  894446.E-12
215000.E-01  119256.E-10  000000.E+00
220000.E-01  119256.E-10  000000.E+00
225000.E-01  119256.E-10  000000.E+00
230000.E-01  119256.E-10  000000.E+00
235000.E-01  119256.E-10  000000.E+00
240000.E-01  119256.E-10  000000.E+00
245000.E-01  114161.E-10  191204.E-10
250000.E-01  112864.E-10  000000.E+00
255000.E-01  112864.E-10  000000.E+00
260000.E-01  112864.E-10  000000.E+00
265000.E-01  112864.E-10  000000.E+00
270000.E-01  110395.E-10  207146.E-10
275000.E-01  109778.E-10  000000.E+00
280000.E-01  112419.E-10  632772.E-12
285000.E-01  174062.E-10  122832.E-10
290000.E-01  195142.E-10  000000.E+00
295000.E-01  195142.E-10  000000.E+00
300000.E-01  195441.E-10  862586.E-10
305000.E-01  196487.E-10  000000.E+00
310000.E-01  196487.E-10  000000.E+00
315000.E-01  196899.E-10  926991.E-11
320000.E-01  197966.E-10  328724.E-10
325000.E-01  200974.E-10  164590.E-10
330000.E-01  289695.E-10  626627.E-12
335000.E-01  290261.E-10  000000.E+00
340000.E-01  290261.E-10  000000.E+00
345000.E-01  290261.E-10  000000.E+00
350000.E-01  291018.E-10  554529.E-11
355000.E-01  292220.E-10  000000.E+00
360000.E-01  292220.E-10  000000.E+00
365000.E-01  292690.E-10  495947.E-11
370000.E-01  292774.E-10  000000.E+00
375000.E-01  292774.E-10  000000.E+00
380000.E-01  292774.E-10  000000.E+00
385000.E-01  289868.E-10  812552.E-11
390000.E-01  222909.E-10  179192.E-09
395000.E-01  308288.E-10  241764.E-09
400000.E-01  319468.E-10  000000.E+00
405000.E-01  212852.E-10  409857.E-10
410000.E-01  168556.E-10  191140.E-09
415000.E-01  174701.E-10  119001.E-11
420000.E-01  181525.E-10  000000.E+00
425000.E-01  121295.E-10  312146.E-10
430000.E-01  101335.E-10  247757.E-11
435000.E-01  210633.E-10  989367.E-10
440000.E-01  174158.E-10  646715.E-11
445000.E-01  186500.E-10  261423.E-12
450000.E-01  504812.E-10  148245.E-11
455000.E-01  244203.E-10  726260.E-10
460000.E-01  138338.E-10  448157.E-10
465000.E-01  696035.E-11  465624.E-11
470000.E-01  656609.E-11  918774.E-12
475000.E-01  672763.E-11  159215.E-10
480000.E-01  592632.E-11  335934.E-10
485000.E-01  112539.E-10  667243.E-11
490000.E-01  223755.E-10  206649.E-10
495000.E-01  229500.E-10  420866.E-10
500000.E-01  344846.E-10  362914.E-10
