====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 8000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.07
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  1200.17E-02  0000.00E+00
100001.E-02  1218.15E-02  0000.00E+00
150001.E-02  1211.01E-02  0000.00E+00
200001.E-02  1224.58E-02  0000.00E+00
250001.E-02  1285.08E-02  8431.30E-06
300001.E-02  1302.98E-02  0000.00E+00
350001.E-02  1290.04E-02  0000.00E+00
400001.E-02  1199.52E-02  2206.09E-10
450001.E-02  1204.31E-02  0000.00E+00
500001.E-02  1216.80E-02  8786.05E-08
550001.E-02  1281.15E-02  3138.76E-07
600001.E-02  1232.43E-02  6503.69E-08
650001.E-02  1171.87E-02  0000.00E+00
700001.E-02  1240.70E-02  7007.45E-08
750001.E-02  1238.55E-02  2177.46E-05
800001.E-02  1245.13E-02  1417.21E-07
850001.E-02  1197.92E-02  1224.54E-06
900001.E-02  1214.32E-02  7159.80E-07
950001.E-02  1177.11E-02  3284.40E-06
100000.E-01  1219.47E-02  1717.93E-07
105000.E-01  1128.52E-02  0000.00E+00
110000.E-01  1115.76E-02  0000.00E+00
115000.E-01  1115.85E-02  4098.92E-07
120000.E-01  1181.98E-02  0000.00E+00
125000.E-01  1188.67E-02  0000.00E+00
130000.E-01  1227.60E-02  0000.00E+00
135000.E-01  1192.42E-02  0000.00E+00
140000.E-01  1153.33E-02  1106.59E-07
145000.E-01  1145.69E-02  7056.80E-08
150000.E-01  1187.06E-02  1275.07E-06
155000.E-01  1210.47E-02  0000.00E+00
160000.E-01  1217.77E-02  2155.25E-07
165000.E-01  1243.73E-02  1799.58E-07
170000.E-01  1238.54E-02  0000.00E+00
175000.E-01  1228.15E-02  0000.00E+00
180000.E-01  1228.15E-02  0000.00E+00
185000.E-01  1228.42E-02  2551.74E-07
190000.E-01  1158.01E-02  1558.53E-06
195000.E-01  1160.37E-02  4507.02E-07
200000.E-01  1199.24E-02  0000.00E+00
205000.E-01  1185.60E-02  0000.00E+00
210000.E-01  1168.92E-02  8807.59E-06
215000.E-01  1168.37E-02  5063.40E-07
220000.E-01  1213.79E-02  0000.00E+00
225000.E-01  1213.53E-02  0000.00E+00
230000.E-01  1172.60E-02  1375.30E-07
235000.E-01  1208.70E-02  0000.00E+00
240000.E-01  1186.19E-02  2227.21E-07
245000.E-01  1159.70E-02  6631.67E-08
250000.E-01  1183.01E-02  1119.16E-06
255000.E-01  1155.87E-02  0000.00E+00
260000.E-01  1155.87E-02  0000.00E+00
265000.E-01  1155.42E-02  1100.13E-07
270000.E-01  1152.70E-02  0000.00E+00
275000.E-01  1152.70E-02  0000.00E+00
280000.E-01  1154.35E-02  4659.89E-07
285000.E-01  1145.19E-02  2009.33E-06
290000.E-01  1173.33E-02  2152.12E-07
295000.E-01  1176.08E-02  0000.00E+00
300000.E-01  1181.28E-02  2425.97E-07
305000.E-01  1195.33E-02  1241.06E-06
310000.E-01  1234.21E-02  0000.00E+00
315000.E-01  1229.23E-02  0000.00E+00
320000.E-01  1222.70E-02  0000.00E+00
325000.E-01  1153.21E-02  0000.00E+00
330000.E-01  1162.74E-02  1245.01E-07
335000.E-01  1159.20E-02  0000.00E+00
340000.E-01  1167.79E-02  0000.00E+00
345000.E-01  1221.17E-02  6259.47E-08
350000.E-01  1213.33E-02  2691.08E-08
355000.E-01  1194.65E-02  1100.22E-07
360000.E-01  1152.52E-02  3867.19E-07
365000.E-01  1152.50E-02  2549.50E-07
370000.E-01  1148.75E-02  0000.00E+00
375000.E-01  1172.94E-02  0000.00E+00
380000.E-01  1185.03E-02  8030.27E-06
385000.E-01  1255.79E-02  0000.00E+00
390000.E-01  1268.18E-02  0000.00E+00
395000.E-01  1257.21E-02  1542.31E-07
400000.E-01  1219.94E-02  0000.00E+00
405000.E-01  1231.70E-02  0000.00E+00
410000.E-01  1252.78E-02  0000.00E+00
415000.E-01  1223.57E-02  1807.12E-07
420000.E-01  1204.74E-02  6654.91E-07
425000.E-01  1178.42E-02  2230.08E-07
430000.E-01  1138.41E-02  1285.76E-07
435000.E-01  1153.11E-02  1411.73E-06
440000.E-01  1165.82E-02  1100.13E-07
445000.E-01  1201.18E-02  0000.00E+00
450000.E-01  1195.90E-02  0000.00E+00
455000.E-01  1227.53E-02  0000.00E+00
460000.E-01  1271.78E-02  0000.00E+00
465000.E-01  1207.30E-02  3922.26E-07
470000.E-01  1201.63E-02  0000.00E+00
475000.E-01  1212.96E-02  2596.22E-08
480000.E-01  1218.31E-02  0000.00E+00
485000.E-01  1152.56E-02  1659.02E-07
490000.E-01  1201.76E-02  5033.33E-07
495000.E-01  1380.75E-02  1359.95E-07
500000.E-01  1264.25E-02  3470.10E-07
