====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 8000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.07
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  871532.E-09  132816.E-11
100001.E-02  789300.E-09  105211.E-09
150001.E-02  764821.E-09  207213.E-09
200001.E-02  666095.E-09  183692.E-09
250001.E-02  653811.E-09  280375.E-07
300001.E-02  624522.E-09  173129.E-09
350001.E-02  652793.E-09  592803.E-09
400001.E-02  615339.E-09  220609.E-12
450001.E-02  608757.E-09  000000.E+00
500001.E-02  548246.E-09  370943.E-09
550001.E-02  575240.E-09  178128.E-08
600001.E-02  871172.E-09  545294.E-09
650001.E-02  115226.E-08  255761.E-09
700001.E-02  103165.E-08  153504.E-09
750001.E-02  747273.E-09  677774.E-07
800001.E-02  844606.E-09  144525.E-08
850001.E-02  829418.E-09  109515.E-07
900001.E-02  108813.E-08  533997.E-08
950001.E-02  103577.E-08  148627.E-07
100000.E-01  130878.E-08  161533.E-08
105000.E-01  145598.E-08  831408.E-11
110000.E-01  146114.E-08  000000.E+00
115000.E-01  100468.E-08  320917.E-08
120000.E-01  908840.E-09  000000.E+00
125000.E-01  863280.E-09  376145.E-09
130000.E-01  767115.E-09  716837.E-11
135000.E-01  783162.E-09  183692.E-09
140000.E-01  693959.E-09  112132.E-08
145000.E-01  589115.E-09  156606.E-09
150000.E-01  531606.E-09  333736.E-08
155000.E-01  666034.E-09  000000.E+00
160000.E-01  686575.E-09  160022.E-08
165000.E-01  687448.E-09  505305.E-09
170000.E-01  704669.E-09  450997.E-10
175000.E-01  737160.E-09  000000.E+00
180000.E-01  737160.E-09  000000.E+00
185000.E-01  750544.E-09  608521.E-08
190000.E-01  744205.E-09  873439.E-08
195000.E-01  861872.E-09  676487.E-08
200000.E-01  987300.E-09  000000.E+00
205000.E-01  908239.E-09  623322.E-09
210000.E-01  845997.E-09  199096.E-07
215000.E-01  779323.E-09  426905.E-08
220000.E-01  760892.E-09  244220.E-09
225000.E-01  778031.E-09  142861.E-09
230000.E-01  722103.E-09  536073.E-09
235000.E-01  718924.E-09  549188.E-09
240000.E-01  716626.E-09  105058.E-08
245000.E-01  803085.E-09  166074.E-09
250000.E-01  958088.E-09  286726.E-08
255000.E-01  117919.E-08  000000.E+00
260000.E-01  117919.E-08  000000.E+00
265000.E-01  119324.E-08  159525.E-09
270000.E-01  127968.E-08  000000.E+00
275000.E-01  127968.E-08  000000.E+00
280000.E-01  146106.E-08  134594.E-08
285000.E-01  141030.E-08  811720.E-08
290000.E-01  133125.E-08  745039.E-09
295000.E-01  133457.E-08  624992.E-10
300000.E-01  104501.E-08  463577.E-09
305000.E-01  102019.E-08  614770.E-08
310000.E-01  959007.E-09  384739.E-09
315000.E-01  898077.E-09  176041.E-09
320000.E-01  848513.E-09  527074.E-09
325000.E-01  961096.E-09  103217.E-09
330000.E-01  110105.E-08  823681.E-09
335000.E-01  103028.E-08  159525.E-09
340000.E-01  113433.E-08  110883.E-08
345000.E-01  161960.E-08  198804.E-08
350000.E-01  136337.E-08  310082.E-09
355000.E-01  122672.E-08  261783.E-09
360000.E-01  124408.E-08  803666.E-09
365000.E-01  113743.E-08  821490.E-09
370000.E-01  902222.E-09  198174.E-09
375000.E-01  783258.E-09  226276.E-09
380000.E-01  704002.E-09  234930.E-07
385000.E-01  567946.E-09  000000.E+00
390000.E-01  541493.E-09  117234.E-08
395000.E-01  491145.E-09  624764.E-09
400000.E-01  496829.E-09  682419.E-10
405000.E-01  515718.E-09  263144.E-09
410000.E-01  543548.E-09  000000.E+00
415000.E-01  555605.E-09  515693.E-09
420000.E-01  640271.E-09  334508.E-08
425000.E-01  701371.E-09  710175.E-09
430000.E-01  700223.E-09  173707.E-09
435000.E-01  789387.E-09  613818.E-08
440000.E-01  104138.E-08  159525.E-09
445000.E-01  101584.E-08  290460.E-09
450000.E-01  919446.E-09  159557.E-09
455000.E-01  912780.E-09  377409.E-10
460000.E-01  935593.E-09  135675.E-09
465000.E-01  901173.E-09  249035.E-08
470000.E-01  926669.E-09  109219.E-09
475000.E-01  968743.E-09  944873.E-09
480000.E-01  133180.E-08  462183.E-09
485000.E-01  160016.E-08  369526.E-08
490000.E-01  147921.E-08  165921.E-08
495000.E-01  849949.E-09  114339.E-08
500000.E-01  145781.E-08  200503.E-08
