====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 80000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  296579.E-10  161344.E-11
100001.E-02  491162.E-10  281650.E-11
150001.E-02  483122.E-10  261622.E-12
200001.E-02  476609.E-10  701218.E-11
250001.E-02  467143.E-10  891899.E-11
300001.E-02  458531.E-10  364053.E-11
350001.E-02  431847.E-10  203708.E-09
400001.E-02  134980.E-10  138462.E-10
450001.E-02  921222.E-11  513889.E-10
500001.E-02  696368.E-11  766971.E-12
550001.E-02  652500.E-11  324306.E-10
600001.E-02  403053.E-11  697701.E-11
650001.E-02  696346.E-11  280029.E-11
700001.E-02  133145.E-10  859097.E-11
750001.E-02  102868.E-10  162281.E-10
800001.E-02  491323.E-11  475788.E-11
850001.E-02  701602.E-11  235862.E-10
900001.E-02  515429.E-11  529973.E-11
950001.E-02  164538.E-10  510896.E-11
100000.E-01  238249.E-10  382931.E-10
105000.E-01  646328.E-11  127102.E-11
110000.E-01  544527.E-11  168271.E-11
115000.E-01  502799.E-11  000000.E+00
120000.E-01  502799.E-11  000000.E+00
125000.E-01  901789.E-11  169055.E-11
130000.E-01  213952.E-10  216435.E-10
135000.E-01  101760.E-10  000000.E+00
140000.E-01  101760.E-10  000000.E+00
145000.E-01  101760.E-10  000000.E+00
150000.E-01  101760.E-10  000000.E+00
155000.E-01  101760.E-10  000000.E+00
160000.E-01  101760.E-10  000000.E+00
165000.E-01  102074.E-10  646820.E-11
170000.E-01  103016.E-10  000000.E+00
175000.E-01  103016.E-10  000000.E+00
180000.E-01  103016.E-10  000000.E+00
185000.E-01  100867.E-10  210705.E-11
190000.E-01  100683.E-10  000000.E+00
195000.E-01  990630.E-11  126641.E-10
200000.E-01  968476.E-11  000000.E+00
205000.E-01  981452.E-11  170080.E-10
210000.E-01  980376.E-11  000000.E+00
215000.E-01  956092.E-11  113860.E-11
220000.E-01  947240.E-11  000000.E+00
225000.E-01  945191.E-11  544132.E-10
230000.E-01  781931.E-11  000000.E+00
235000.E-01  559582.E-11  621432.E-10
240000.E-01  448970.E-11  986043.E-12
245000.E-01  459441.E-11  000000.E+00
250000.E-01  480762.E-11  468849.E-11
255000.E-01  527943.E-11  104172.E-10
260000.E-01  598928.E-11  918627.E-12
265000.E-01  655964.E-11  000000.E+00
270000.E-01  669758.E-11  226971.E-10
275000.E-01  691261.E-11  000000.E+00
280000.E-01  691261.E-11  000000.E+00
285000.E-01  742285.E-11  132322.E-10
290000.E-01  752818.E-11  000000.E+00
295000.E-01  737670.E-11  581294.E-11
300000.E-01  955935.E-11  164928.E-10
305000.E-01  110495.E-10  332122.E-10
310000.E-01  107127.E-10  162205.E-10
315000.E-01  149009.E-10  517704.E-11
320000.E-01  158327.E-10  000000.E+00
325000.E-01  158327.E-10  000000.E+00
330000.E-01  158334.E-10  177725.E-11
335000.E-01  164354.E-10  000000.E+00
340000.E-01  162660.E-10  299904.E-10
345000.E-01  116015.E-10  371276.E-10
350000.E-01  113042.E-10  165689.E-10
355000.E-01  109071.E-10  664146.E-11
360000.E-01  116469.E-10  475225.E-11
365000.E-01  113399.E-10  728280.E-10
370000.E-01  544001.E-11  000000.E+00
375000.E-01  544001.E-11  000000.E+00
380000.E-01  578133.E-11  750151.E-11
385000.E-01  595696.E-11  570003.E-11
390000.E-01  602304.E-11  000000.E+00
395000.E-01  602304.E-11  000000.E+00
400000.E-01  574475.E-11  187539.E-10
405000.E-01  725525.E-11  182051.E-10
410000.E-01  793645.E-11  118229.E-12
415000.E-01  826746.E-11  360841.E-11
420000.E-01  832027.E-11  446606.E-11
425000.E-01  856398.E-11  243621.E-10
430000.E-01  758296.E-11  578227.E-11
435000.E-01  686395.E-11  578466.E-11
440000.E-01  110963.E-10  227342.E-10
445000.E-01  236738.E-10  443522.E-11
450000.E-01  264073.E-10  171066.E-11
455000.E-01  273111.E-10  528783.E-11
460000.E-01  222172.E-10  581655.E-10
465000.E-01  210578.E-10  297205.E-11
470000.E-01  380423.E-10  520457.E-10
475000.E-01  168722.E-10  240851.E-10
480000.E-01  155113.E-10  969478.E-11
485000.E-01  114922.E-10  556666.E-10
490000.E-01  116931.E-10  126410.E-10
495000.E-01  729609.E-11  126193.E-10
500000.E-01  465473.E-11  862761.E-11
