====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Li   Energy = 20000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.05
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  179666.E-08  689611.E-11
100001.E-02  189437.E-08  111370.E-09
150001.E-02  190034.E-08  369213.E-09
200001.E-02  249012.E-08  181915.E-09
250001.E-02  230630.E-08  271719.E-10
300001.E-02  230365.E-08  000000.E+00
350001.E-02  231003.E-08  190226.E-09
400001.E-02  231478.E-08  162785.E-09
450001.E-02  138024.E-08  781649.E-08
500001.E-02  134221.E-08  100786.E-08
550001.E-02  115863.E-08  900657.E-10
600001.E-02  126495.E-08  269508.E-10
650001.E-02  108943.E-08  206867.E-09
700001.E-02  987213.E-09  223726.E-09
750001.E-02  921054.E-09  304584.E-08
800001.E-02  762048.E-09  622578.E-09
850001.E-02  511682.E-08  102395.E-08
900001.E-02  276411.E-08  882093.E-09
950001.E-02  149960.E-08  876844.E-09
100000.E-01  616213.E-08  329432.E-08
105000.E-01  150823.E-08  602899.E-11
110000.E-01  151725.E-08  000000.E+00
115000.E-01  117633.E-08  181915.E-09
120000.E-01  107758.E-08  474865.E-09
125000.E-01  114238.E-08  000000.E+00
130000.E-01  111884.E-08  282805.E-09
135000.E-01  112844.E-08  213098.E-09
140000.E-01  115725.E-08  000000.E+00
145000.E-01  128793.E-08  740863.E-09
150000.E-01  149848.E-08  409411.E-09
155000.E-01  173048.E-08  178987.E-09
160000.E-01  173917.E-08  000000.E+00
165000.E-01  173917.E-08  000000.E+00
170000.E-01  161832.E-08  221088.E-12
175000.E-01  197250.E-08  395013.E-09
180000.E-01  177796.E-08  221088.E-12
185000.E-01  135864.E-08  127825.E-07
190000.E-01  810860.E-09  296593.E-08
195000.E-01  740305.E-09  171373.E-09
200000.E-01  824243.E-09  811350.E-08
205000.E-01  979608.E-09  252576.E-10
210000.E-01  924356.E-09  110985.E-08
215000.E-01  852613.E-09  113702.E-09
220000.E-01  807333.E-09  333681.E-09
225000.E-01  103498.E-08  424425.E-08
230000.E-01  116616.E-08  745669.E-08
235000.E-01  143511.E-08  234196.E-08
240000.E-01  164683.E-08  682900.E-08
245000.E-01  148171.E-08  246551.E-08
250000.E-01  137824.E-08  234848.E-08
255000.E-01  131630.E-08  360902.E-09
260000.E-01  112983.E-08  733702.E-09
265000.E-01  111230.E-08  911145.E-10
270000.E-01  142846.E-08  203773.E-08
275000.E-01  170247.E-08  181915.E-09
280000.E-01  177989.E-08  276346.E-08
285000.E-01  165579.E-08  338921.E-08
290000.E-01  137312.E-08  103155.E-08
295000.E-01  109010.E-08  184649.E-08
300000.E-01  990753.E-09  763582.E-09
305000.E-01  109140.E-08  243629.E-09
310000.E-01  131386.E-08  898830.E-09
315000.E-01  100992.E-08  518329.E-09
320000.E-01  952263.E-09  190183.E-09
325000.E-01  102842.E-08  000000.E+00
330000.E-01  111167.E-08  692314.E-09
335000.E-01  100467.E-08  102781.E-08
340000.E-01  968621.E-09  294620.E-09
345000.E-01  144167.E-08  540588.E-08
350000.E-01  186175.E-08  149473.E-08
355000.E-01  120644.E-08  000000.E+00
360000.E-01  120691.E-08  190226.E-09
365000.E-01  136008.E-08  777913.E-08
370000.E-01  139886.E-08  513327.E-09
375000.E-01  135061.E-08  307008.E-09
380000.E-01  148154.E-08  675723.E-09
385000.E-01  141913.E-08  205769.E-08
390000.E-01  112929.E-08  269508.E-10
395000.E-01  104180.E-08  000000.E+00
400000.E-01  112496.E-08  369213.E-09
405000.E-01  125694.E-08  333486.E-08
410000.E-01  115799.E-08  101745.E-08
415000.E-01  111839.E-08  223761.E-09
420000.E-01  109816.E-08  492248.E-07
425000.E-01  116535.E-08  650300.E-06
430000.E-01  128714.E-08  342102.E-08
435000.E-01  129308.E-08  120302.E-09
440000.E-01  150049.E-08  408639.E-09
445000.E-01  197706.E-08  109348.E-08
450000.E-01  130001.E-08  311707.E-09
455000.E-01  839216.E-09  820684.E-09
460000.E-01  106747.E-08  255564.E-09
465000.E-01  113628.E-08  329655.E-08
470000.E-01  198430.E-08  267076.E-08
475000.E-01  214557.E-08  237895.E-09
480000.E-01  168150.E-08  181915.E-09
485000.E-01  112643.E-08  748693.E-10
490000.E-01  158005.E-08  186659.E-08
495000.E-01  215651.E-08  132866.E-08
500000.E-01  192709.E-08  195988.E-08
