====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 4000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.22
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  1783.32E-02  0000.00E+00
100001.E-02  1777.68E-02  0000.00E+00
150001.E-02  1807.20E-02  1041.20E-08
200001.E-02  1818.82E-02  9298.56E-08
250001.E-02  1773.27E-02  2170.28E-10
300001.E-02  1737.79E-02  0000.00E+00
350001.E-02  1776.67E-02  2948.39E-07
400001.E-02  1832.64E-02  3013.84E-07
450001.E-02  1798.33E-02  1320.29E-07
500001.E-02  1883.56E-02  4561.10E-08
550001.E-02  1892.87E-02  8922.49E-08
600001.E-02  1905.68E-02  2170.28E-10
650001.E-02  1838.23E-02  9411.20E-06
700001.E-02  1818.59E-02  1318.38E-07
750001.E-02  1883.58E-02  2076.50E-07
800001.E-02  1961.15E-02  2597.20E-06
850001.E-02  1885.71E-02  2623.87E-07
900001.E-02  1744.71E-02  9407.67E-08
950001.E-02  1643.36E-02  5310.92E-07
100000.E-01  1807.10E-02  1035.89E-07
105000.E-01  1767.32E-02  0000.00E+00
110000.E-01  1873.96E-02  1025.95E-07
115000.E-01  1887.76E-02  0000.00E+00
120000.E-01  1847.93E-02  2170.28E-10
125000.E-01  1886.61E-02  1245.95E-07
130000.E-01  1872.56E-02  2553.90E-07
135000.E-01  1826.40E-02  2644.67E-07
140000.E-01  1847.90E-02  8879.86E-08
145000.E-01  1844.06E-02  7039.98E-08
150000.E-01  1823.30E-02  2170.28E-10
155000.E-01  1864.51E-02  3688.39E-06
160000.E-01  1890.04E-02  6096.43E-07
165000.E-01  1865.32E-02  1605.73E-07
170000.E-01  1854.44E-02  2254.56E-07
175000.E-01  1829.20E-02  9617.03E-08
180000.E-01  1779.84E-02  2550.74E-07
185000.E-01  1769.85E-02  7987.91E-07
190000.E-01  1857.57E-02  1111.99E-07
195000.E-01  1888.51E-02  0000.00E+00
200000.E-01  1916.36E-02  1342.49E-07
205000.E-01  1877.15E-02  1914.32E-05
210000.E-01  1833.26E-02  2855.23E-07
215000.E-01  1891.63E-02  5948.69E-07
220000.E-01  1910.46E-02  1397.53E-06
225000.E-01  1866.51E-02  2350.36E-06
230000.E-01  1763.16E-02  4921.17E-07
235000.E-01  1742.88E-02  5556.31E-08
240000.E-01  1837.10E-02  2528.61E-07
245000.E-01  1883.74E-02  1296.23E-06
250000.E-01  1881.20E-02  3868.41E-07
255000.E-01  1883.06E-02  0000.00E+00
260000.E-01  1858.16E-02  1533.47E-05
265000.E-01  1848.09E-02  3760.07E-07
270000.E-01  1817.76E-02  0000.00E+00
275000.E-01  1817.76E-02  0000.00E+00
280000.E-01  1804.50E-02  1963.85E-07
285000.E-01  1830.66E-02  2082.23E-07
290000.E-01  1933.89E-02  7532.56E-06
295000.E-01  1929.67E-02  4011.61E-07
300000.E-01  1883.68E-02  6800.65E-07
305000.E-01  1969.89E-02  7339.88E-08
310000.E-01  1995.64E-02  2247.33E-07
315000.E-01  1945.00E-02  1445.15E-07
320000.E-01  1931.69E-02  3676.62E-07
325000.E-01  1840.57E-02  2115.26E-07
330000.E-01  1761.00E-02  1071.77E-06
335000.E-01  1832.17E-02  0000.00E+00
340000.E-01  1903.83E-02  2037.65E-08
345000.E-01  1853.18E-02  0000.00E+00
350000.E-01  1851.62E-02  2782.62E-07
355000.E-01  1885.89E-02  5381.83E-06
360000.E-01  1870.73E-02  1412.23E-06
365000.E-01  1876.33E-02  2017.18E-07
370000.E-01  1870.82E-02  0000.00E+00
375000.E-01  1922.41E-02  2512.59E-07
380000.E-01  1988.00E-02  7855.91E-06
385000.E-01  1995.76E-02  1416.78E-06
390000.E-01  1937.16E-02  6085.69E-07
395000.E-01  1882.01E-02  8989.53E-08
400000.E-01  1934.93E-02  0000.00E+00
405000.E-01  1893.75E-02  3692.08E-07
410000.E-01  1953.30E-02  7318.38E-07
415000.E-01  1887.32E-02  1398.63E-06
420000.E-01  1849.09E-02  2929.58E-07
425000.E-01  1900.02E-02  2408.21E-07
430000.E-01  1928.05E-02  1055.51E-06
435000.E-01  1979.51E-02  1438.80E-06
440000.E-01  1916.43E-02  4725.13E-06
445000.E-01  1908.62E-02  8253.16E-08
450000.E-01  1923.05E-02  0000.00E+00
455000.E-01  1925.44E-02  1836.48E-07
460000.E-01  2000.77E-02  2188.58E-07
465000.E-01  2133.40E-02  3175.53E-07
470000.E-01  2033.99E-02  4650.52E-07
475000.E-01  2062.12E-02  1775.55E-06
480000.E-01  2057.10E-02  3221.22E-07
485000.E-01  2095.13E-02  1486.41E-06
490000.E-01  2283.89E-02  4098.89E-06
495000.E-01  2302.18E-02  4696.76E-07
500000.E-01  2216.91E-02  6681.24E-07
