====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 70000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  411626.E-11  354127.E-12
100001.E-02  427923.E-11  000000.E+00
150001.E-02  586306.E-11  353749.E-11
200001.E-02  933274.E-11  231311.E-11
250001.E-02  101502.E-10  186224.E-11
300001.E-02  112364.E-10  110597.E-10
350001.E-02  128110.E-10  393221.E-12
400001.E-02  141565.E-10  278867.E-11
450001.E-02  170965.E-10  107089.E-10
500001.E-02  400668.E-10  988637.E-11
550001.E-02  373491.E-10  507864.E-10
600001.E-02  339504.E-10  328753.E-11
650001.E-02  104912.E-10  100608.E-09
700001.E-02  808053.E-11  165685.E-11
750001.E-02  749765.E-11  482564.E-11
800001.E-02  890098.E-11  249660.E-11
850001.E-02  974809.E-11  105598.E-10
900001.E-02  592520.E-11  141410.E-10
950001.E-02  163381.E-10  959180.E-11
100000.E-01  306422.E-10  571739.E-10
105000.E-01  233019.E-10  801715.E-15
110000.E-01  233703.E-10  000000.E+00
115000.E-01  234431.E-10  633915.E-12
120000.E-01  240649.E-10  137509.E-11
125000.E-01  146714.E-10  528331.E-10
130000.E-01  122270.E-10  000000.E+00
135000.E-01  124539.E-10  780850.E-11
140000.E-01  130915.E-10  000000.E+00
145000.E-01  130915.E-10  000000.E+00
150000.E-01  130915.E-10  000000.E+00
155000.E-01  130915.E-10  000000.E+00
160000.E-01  130915.E-10  000000.E+00
165000.E-01  129915.E-10  834654.E-11
170000.E-01  129456.E-10  000000.E+00
175000.E-01  159613.E-10  138286.E-10
180000.E-01  198393.E-10  000000.E+00
185000.E-01  198393.E-10  000000.E+00
190000.E-01  177850.E-10  950112.E-10
195000.E-01  154550.E-10  106632.E-11
200000.E-01  150717.E-10  324486.E-12
205000.E-01  171449.E-10  696607.E-11
210000.E-01  321296.E-10  189188.E-11
215000.E-01  231974.E-10  182342.E-10
220000.E-01  193542.E-10  169437.E-11
225000.E-01  195581.E-10  000000.E+00
230000.E-01  195581.E-10  000000.E+00
235000.E-01  203492.E-10  134769.E-10
240000.E-01  168954.E-10  521429.E-10
245000.E-01  194172.E-10  396013.E-11
250000.E-01  217271.E-10  893406.E-11
255000.E-01  168438.E-10  000000.E+00
260000.E-01  177405.E-10  892545.E-11
265000.E-01  200038.E-10  000000.E+00
270000.E-01  199860.E-10  551555.E-10
275000.E-01  185817.E-10  000000.E+00
280000.E-01  185952.E-10  526625.E-11
285000.E-01  195829.E-10  162456.E-11
290000.E-01  239736.E-10  476848.E-11
295000.E-01  249656.E-10  000000.E+00
300000.E-01  198304.E-10  214954.E-09
305000.E-01  121434.E-10  112835.E-10
310000.E-01  120565.E-10  123136.E-10
315000.E-01  120053.E-10  000000.E+00
320000.E-01  120053.E-10  000000.E+00
325000.E-01  120053.E-10  000000.E+00
330000.E-01  120053.E-10  000000.E+00
335000.E-01  120053.E-10  000000.E+00
340000.E-01  120053.E-10  000000.E+00
345000.E-01  120053.E-10  000000.E+00
350000.E-01  134285.E-10  860200.E-10
355000.E-01  199937.E-10  202360.E-10
360000.E-01  246277.E-10  000000.E+00
365000.E-01  246623.E-10  210269.E-10
370000.E-01  211063.E-10  569324.E-10
375000.E-01  883411.E-11  000000.E+00
380000.E-01  916723.E-11  459960.E-11
385000.E-01  920759.E-11  000000.E+00
390000.E-01  920759.E-11  000000.E+00
395000.E-01  920759.E-11  255518.E-08
400000.E-01  871975.E-11  134971.E-10
405000.E-01  801224.E-11  360894.E-11
410000.E-01  904395.E-11  121208.E-09
415000.E-01  849740.E-11  105089.E-10
420000.E-01  847529.E-11  111762.E-10
425000.E-01  884937.E-11  250027.E-12
430000.E-01  893710.E-11  999324.E-11
435000.E-01  801293.E-11  105069.E-10
440000.E-01  930881.E-11  164207.E-11
445000.E-01  971265.E-11  156396.E-11
450000.E-01  951339.E-11  920928.E-11
455000.E-01  361640.E-10  690072.E-10
460000.E-01  554037.E-10  496461.E-11
465000.E-01  585437.E-10  379680.E-08
470000.E-01  581421.E-10  176417.E-10
475000.E-01  535222.E-10  106910.E-10
480000.E-01  189213.E-10  101647.E-07
485000.E-01  561215.E-11  347052.E-10
490000.E-01  570862.E-11  842592.E-11
495000.E-01  922822.E-11  510204.E-11
500000.E-01  127162.E-10  249296.E-10
