====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = Li   Energy = 15000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 A   Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 A   Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.08
 Ion Average Range =   000.0E+00 A   Straggling =   000.0E+00 A
 Ion Lateral Range =   000.0E+00 A   Straggling =   000.0E+00 A
 Ion Radial  Range =   000.0E+00 A   Straggling =   000.0E+00 A
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         Li         Al         Si          O         Si    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms  Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------  ----------  ----------
240000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
245000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
250000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
255000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
260000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4057E+04
265000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
270000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
275000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1014E+05
280000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
285000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
290000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4057E+04
295000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
300000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
305000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
310000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
315000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
320000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
325000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
330000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4057E+04
335000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
340000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
345000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
350000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
355000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
360000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
365000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
370000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
375000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
380000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
385000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
390000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
395000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
400000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
405000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7623E+05
410000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
415000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.2028E+06
420000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
425000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
430000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
435000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
440000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
445000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
450000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
455000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
460000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.2028E+04
465000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
470000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4057E+04
475000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
480000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
485000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.2028E+04
490000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
495000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4057E+04
500000.E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
