====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 8000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.01
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  112314.E-09  270992.E-13
100001.E-02  152440.E-09  657528.E-11
150001.E-02  149580.E-09  922168.E-10
200001.E-02  124022.E-09  206948.E-10
250001.E-02  123738.E-09  000000.E+00
300001.E-02  125674.E-09  403955.E-11
350001.E-02  288082.E-09  245125.E-09
400001.E-02  129959.E-09  262057.E-08
450001.E-02  275621.E-09  612009.E-10
500001.E-02  206398.E-09  415742.E-09
550001.E-02  164450.E-09  226280.E-10
600001.E-02  164327.E-09  122234.E-08
650001.E-02  107985.E-09  742298.E-10
700001.E-02  121592.E-09  107631.E-09
750001.E-02  126837.E-09  724666.E-10
800001.E-02  136615.E-09  153345.E-10
850001.E-02  146139.E-09  309273.E-10
900001.E-02  111043.E-09  106558.E-09
950001.E-02  765260.E-09  262253.E-09
100000.E-01  542251.E-10  757885.E-10
105000.E-01  636058.E-10  688677.E-13
110000.E-01  637653.E-10  000000.E+00
115000.E-01  637653.E-10  000000.E+00
120000.E-01  637653.E-10  000000.E+00
125000.E-01  704387.E-10  309431.E-10
130000.E-01  728266.E-10  000000.E+00
135000.E-01  728266.E-10  000000.E+00
140000.E-01  728266.E-10  000000.E+00
145000.E-01  728266.E-10  000000.E+00
150000.E-01  728266.E-10  000000.E+00
155000.E-01  724050.E-10  489732.E-10
160000.E-01  714406.E-10  000000.E+00
165000.E-01  714406.E-10  000000.E+00
170000.E-01  706340.E-10  551604.E-10
175000.E-01  715434.E-10  729378.E-10
180000.E-01  722398.E-10  000000.E+00
185000.E-01  722398.E-10  000000.E+00
190000.E-01  722398.E-10  000000.E+00
195000.E-01  119265.E-09  197789.E-09
200000.E-01  142943.E-09  000000.E+00
205000.E-01  132180.E-09  605651.E-09
210000.E-01  131240.E-09  000000.E+00
215000.E-01  168643.E-09  231455.E-09
220000.E-01  204156.E-09  000000.E+00
225000.E-01  204156.E-09  000000.E+00
230000.E-01  204020.E-09  228137.E-10
235000.E-01  162051.E-09  318598.E-09
240000.E-01  152626.E-09  000000.E+00
245000.E-01  152626.E-09  000000.E+00
250000.E-01  173152.E-09  421469.E-10
255000.E-01  177526.E-09  000000.E+00
260000.E-01  176952.E-09  216391.E-09
265000.E-01  176081.E-09  203834.E-09
270000.E-01  181178.E-09  205780.E-09
275000.E-01  180802.E-09  124677.E-11
280000.E-01  183193.E-09  000000.E+00
285000.E-01  183193.E-09  000000.E+00
290000.E-01  172930.E-09  216345.E-09
295000.E-01  155053.E-09  000000.E+00
300000.E-01  155053.E-09  000000.E+00
305000.E-01  152420.E-09  609200.E-10
310000.E-01  167534.E-09  542964.E-10
315000.E-01  148872.E-09  479939.E-11
320000.E-01  160314.E-09  101667.E-09
325000.E-01  153692.E-09  121539.E-09
330000.E-01  102636.E-09  000000.E+00
335000.E-01  966958.E-10  810166.E-10
340000.E-01  690054.E-10  222086.E-12
345000.E-01  672868.E-10  441131.E-10
350000.E-01  727550.E-10  000000.E+00
355000.E-01  727550.E-10  000000.E+00
360000.E-01  717894.E-10  157775.E-10
365000.E-01  716460.E-10  000000.E+00
370000.E-01  716460.E-10  000000.E+00
375000.E-01  708998.E-10  171292.E-09
380000.E-01  724656.E-10  688515.E-10
385000.E-01  119159.E-09  593486.E-10
390000.E-01  124383.E-09  123703.E-09
395000.E-01  105999.E-09  121798.E-09
400000.E-01  979251.E-10  504931.E-10
405000.E-01  809605.E-10  727136.E-10
410000.E-01  786732.E-10  258304.E-10
415000.E-01  894394.E-10  577999.E-11
420000.E-01  974472.E-10  000000.E+00
425000.E-01  847619.E-10  207793.E-09
430000.E-01  817618.E-10  946125.E-10
435000.E-01  102749.E-09  181524.E-10
440000.E-01  163868.E-09  000000.E+00
445000.E-01  137804.E-09  369860.E-10
450000.E-01  202954.E-09  523915.E-10
455000.E-01  227120.E-09  127677.E-10
460000.E-01  234012.E-09  769756.E-10
465000.E-01  192326.E-09  146330.E-09
470000.E-01  156313.E-09  211819.E-10
475000.E-01  116775.E-09  103312.E-09
480000.E-01  110498.E-09  993363.E-10
485000.E-01  211658.E-09  242413.E-09
490000.E-01  686841.E-10  266235.E-08
495000.E-01  526021.E-10  781695.E-10
500000.E-01  597535.E-10  934876.E-10
