====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 70000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  2536.89E-03  0000.00E+00
100001.E-02  2458.02E-03  0000.00E+00
150001.E-02  2712.44E-03  0000.00E+00
200001.E-02  2487.46E-03  0000.00E+00
250001.E-02  2408.67E-03  0000.00E+00
300001.E-02  2221.70E-03  0000.00E+00
350001.E-02  2216.66E-03  0000.00E+00
400001.E-02  2185.08E-03  0000.00E+00
450001.E-02  2389.77E-03  0000.00E+00
500001.E-02  2586.50E-03  4443.78E-10
550001.E-02  2352.70E-03  0000.00E+00
600001.E-02  2492.12E-03  2221.89E-10
650001.E-02  2459.04E-03  0000.00E+00
700001.E-02  2314.22E-03  2221.89E-10
750001.E-02  1724.48E-03  0000.00E+00
800001.E-02  1986.63E-03  0000.00E+00
850001.E-02  1711.51E-03  2221.89E-10
900001.E-02  1871.19E-03  0000.00E+00
950001.E-02  2534.57E-03  4443.78E-10
100000.E-01  2749.86E-03  2221.89E-10
105000.E-01  2345.21E-03  0000.00E+00
110000.E-01  2342.68E-03  0000.00E+00
115000.E-01  2481.43E-03  0000.00E+00
120000.E-01  2485.39E-03  0000.00E+00
125000.E-01  2500.87E-03  0000.00E+00
130000.E-01  2501.84E-03  0000.00E+00
135000.E-01  2501.84E-03  0000.00E+00
140000.E-01  2501.84E-03  0000.00E+00
145000.E-01  2501.84E-03  0000.00E+00
150000.E-01  2304.83E-03  0000.00E+00
155000.E-01  2263.54E-03  0000.00E+00
160000.E-01  2263.54E-03  0000.00E+00
165000.E-01  2263.54E-03  0000.00E+00
170000.E-01  2284.97E-03  2221.89E-10
175000.E-01  2290.53E-03  0000.00E+00
180000.E-01  2290.53E-03  0000.00E+00
185000.E-01  2280.82E-03  0000.00E+00
190000.E-01  2278.36E-03  0000.00E+00
195000.E-01  2278.92E-03  2221.89E-10
200000.E-01  2210.85E-03  0000.00E+00
205000.E-01  2199.66E-03  0000.00E+00
210000.E-01  2193.92E-03  0000.00E+00
215000.E-01  2190.55E-03  0000.00E+00
220000.E-01  2190.55E-03  0000.00E+00
225000.E-01  2190.55E-03  0000.00E+00
230000.E-01  2190.55E-03  0000.00E+00
235000.E-01  2190.55E-03  0000.00E+00
240000.E-01  2115.43E-03  2221.89E-10
245000.E-01  2135.52E-03  2221.89E-10
250000.E-01  2255.39E-03  2221.89E-10
255000.E-01  2503.66E-03  0000.00E+00
260000.E-01  2519.92E-03  0000.00E+00
265000.E-01  2519.92E-03  0000.00E+00
270000.E-01  2465.12E-03  0000.00E+00
275000.E-01  2437.06E-03  0000.00E+00
280000.E-01  2437.06E-03  0000.00E+00
285000.E-01  2437.06E-03  0000.00E+00
290000.E-01  2324.69E-03  2221.89E-10
295000.E-01  2230.91E-03  0000.00E+00
300000.E-01  2104.25E-03  2221.89E-10
305000.E-01  2470.31E-03  0000.00E+00
310000.E-01  2544.00E-03  2221.89E-10
315000.E-01  2549.61E-03  0000.00E+00
320000.E-01  2566.83E-03  0000.00E+00
325000.E-01  2659.56E-03  0000.00E+00
330000.E-01  2701.77E-03  0000.00E+00
335000.E-01  2570.36E-03  0000.00E+00
340000.E-01  2527.31E-03  2221.89E-10
345000.E-01  2461.08E-03  0000.00E+00
350000.E-01  2461.08E-03  0000.00E+00
355000.E-01  2461.08E-03  0000.00E+00
360000.E-01  2559.09E-03  2221.89E-10
365000.E-01  2588.78E-03  0000.00E+00
370000.E-01  2558.32E-03  0000.00E+00
375000.E-01  2555.03E-03  0000.00E+00
380000.E-01  2776.62E-03  0000.00E+00
385000.E-01  2733.90E-03  0000.00E+00
390000.E-01  2431.56E-03  0000.00E+00
395000.E-01  2272.58E-03  0000.00E+00
400000.E-01  2431.37E-03  2221.89E-10
405000.E-01  2473.96E-03  0000.00E+00
410000.E-01  2548.19E-03  0000.00E+00
415000.E-01  2401.10E-03  2221.89E-10
420000.E-01  2322.69E-03  0000.00E+00
425000.E-01  2379.87E-03  0000.00E+00
430000.E-01  2482.61E-03  0000.00E+00
435000.E-01  2482.61E-03  0000.00E+00
440000.E-01  2154.66E-03  0000.00E+00
445000.E-01  1747.07E-03  0000.00E+00
450000.E-01  1898.44E-03  0000.00E+00
455000.E-01  1834.02E-03  0000.00E+00
460000.E-01  2341.35E-03  2221.89E-10
465000.E-01  2887.30E-03  0000.00E+00
470000.E-01  2965.66E-03  2221.89E-10
475000.E-01  2593.01E-03  0000.00E+00
480000.E-01  2729.23E-03  0000.00E+00
485000.E-01  2418.76E-03  0000.00E+00
490000.E-01  2635.29E-03  0000.00E+00
495000.E-01  2557.57E-03  2221.89E-10
500000.E-01  2095.49E-03  0000.00E+00
