====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.04
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  840513.E-09  230567.E-11
100001.E-02  842490.E-09  000000.E+00
150001.E-02  842490.E-09  000000.E+00
200001.E-02  842490.E-09  000000.E+00
250001.E-02  104097.E-08  605451.E-08
300001.E-02  111996.E-08  593065.E-09
350001.E-02  109040.E-08  000000.E+00
400001.E-02  109040.E-08  000000.E+00
450001.E-02  965255.E-09  215283.E-08
500001.E-02  756814.E-09  388466.E-09
550001.E-02  789034.E-09  244679.E-09
600001.E-02  826859.E-09  000000.E+00
650001.E-02  907264.E-09  103115.E-08
700001.E-02  852651.E-09  124991.E-09
750001.E-02  826379.E-09  606886.E-09
800001.E-02  753858.E-09  213061.E-08
850001.E-02  123604.E-08  104321.E-08
900001.E-02  167931.E-08  615628.E-07
950001.E-02  238500.E-08  144120.E-08
100000.E-01  116447.E-08  594695.E-08
105000.E-01  789741.E-09  146482.E-10
110000.E-01  797597.E-09  000000.E+00
115000.E-01  797597.E-09  000000.E+00
120000.E-01  818706.E-09  191925.E-09
125000.E-01  816254.E-09  220898.E-09
130000.E-01  796615.E-09  000000.E+00
135000.E-01  796976.E-09  167347.E-09
140000.E-01  818031.E-09  000000.E+00
145000.E-01  915601.E-09  622685.E-10
150000.E-01  927051.E-09  000000.E+00
155000.E-01  825246.E-09  927757.E-09
160000.E-01  779258.E-09  528583.E-09
165000.E-01  696410.E-09  431948.E-10
170000.E-01  581109.E-09  530192.E-09
175000.E-01  813131.E-09  362322.E-08
180000.E-01  129423.E-08  184826.E-09
185000.E-01  134701.E-08  269567.E-08
190000.E-01  704746.E-09  220898.E-09
195000.E-01  604797.E-09  000000.E+00
200000.E-01  589040.E-09  220898.E-09
205000.E-01  612759.E-09  254621.E-08
210000.E-01  682614.E-09  153288.E-07
215000.E-01  695154.E-09  000000.E+00
220000.E-01  693411.E-09  165755.E-09
225000.E-01  506326.E-09  803320.E-09
230000.E-01  459381.E-09  000000.E+00
235000.E-01  560084.E-09  172248.E-08
240000.E-01  700248.E-09  000000.E+00
245000.E-01  689816.E-09  123875.E-08
250000.E-01  530036.E-09  199661.E-09
255000.E-01  361739.E-09  184826.E-09
260000.E-01  360041.E-09  000000.E+00
265000.E-01  355738.E-09  536539.E-09
270000.E-01  346309.E-09  516987.E-08
275000.E-01  471817.E-09  843348.E-07
280000.E-01  465722.E-09  135607.E-08
285000.E-01  499707.E-09  627240.E-10
290000.E-01  550243.E-09  138684.E-09
295000.E-01  610903.E-09  184826.E-09
300000.E-01  722391.E-09  471129.E-09
305000.E-01  685163.E-09  165755.E-09
310000.E-01  683076.E-09  000000.E+00
315000.E-01  683076.E-09  000000.E+00
320000.E-01  683076.E-09  000000.E+00
325000.E-01  671512.E-09  199661.E-09
330000.E-01  559326.E-09  969360.E-09
335000.E-01  431001.E-09  000000.E+00
340000.E-01  504664.E-09  276267.E-08
345000.E-01  897158.E-09  264115.E-08
350000.E-01  942657.E-09  000000.E+00
355000.E-01  942657.E-09  000000.E+00
360000.E-01  107458.E-08  572546.E-08
365000.E-01  108551.E-08  992605.E-09
370000.E-01  108466.E-08  471129.E-09
375000.E-01  111199.E-08  763865.E-09
380000.E-01  119195.E-08  151284.E-08
385000.E-01  103856.E-08  181138.E-09
390000.E-01  748813.E-09  328481.E-08
395000.E-01  615164.E-09  401281.E-09
400000.E-01  618196.E-09  000000.E+00
405000.E-01  531552.E-09  215891.E-09
410000.E-01  430741.E-09  126409.E-08
415000.E-01  407185.E-09  000000.E+00
420000.E-01  407185.E-09  000000.E+00
425000.E-01  398450.E-09  220737.E-09
430000.E-01  401444.E-09  499708.E-08
435000.E-01  426647.E-09  393641.E-10
440000.E-01  437034.E-09  269341.E-08
445000.E-01  498772.E-09  677070.E-09
450000.E-01  505237.E-09  195973.E-09
455000.E-01  452099.E-09  311770.E-08
460000.E-01  479370.E-09  636998.E-09
465000.E-01  567442.E-09  339424.E-09
470000.E-01  129373.E-08  866798.E-09
475000.E-01  158351.E-08  296890.E-08
480000.E-01  171678.E-08  193643.E-08
485000.E-01  225448.E-08  104440.E-08
490000.E-01  167596.E-08  319740.E-08
495000.E-01  131539.E-08  151537.E-07
500000.E-01  132442.E-08  222323.E-08
