====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 20000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.01
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  7450.14E-03  0000.00E+00
100001.E-02  7212.51E-03  0000.00E+00
150001.E-02  6390.32E-03  0000.00E+00
200001.E-02  6239.72E-03  0000.00E+00
250001.E-02  6178.90E-03  0000.00E+00
300001.E-02  6087.00E-03  0000.00E+00
350001.E-02  6519.57E-03  0000.00E+00
400001.E-02  6083.07E-03  0000.00E+00
450001.E-02  5985.65E-03  0000.00E+00
500001.E-02  6788.59E-03  7802.18E-08
550001.E-02  6842.56E-03  0000.00E+00
600001.E-02  6435.76E-03  2219.48E-10
650001.E-02  6981.16E-03  2180.77E-07
700001.E-02  6737.74E-03  0000.00E+00
750001.E-02  6129.29E-03  1515.76E-07
800001.E-02  6340.21E-03  1037.84E-07
850001.E-02  6392.90E-03  1806.84E-07
900001.E-02  6863.86E-03  1715.93E-07
950001.E-02  7400.07E-03  2219.48E-10
100000.E-01  5937.42E-03  0000.00E+00
105000.E-01  5026.50E-03  0000.00E+00
110000.E-01  5605.81E-03  0000.00E+00
115000.E-01  5936.36E-03  0000.00E+00
120000.E-01  5936.36E-03  0000.00E+00
125000.E-01  5936.36E-03  0000.00E+00
130000.E-01  5936.36E-03  0000.00E+00
135000.E-01  5950.04E-03  0000.00E+00
140000.E-01  5953.51E-03  0000.00E+00
145000.E-01  5953.51E-03  0000.00E+00
150000.E-01  5918.93E-03  1337.09E-07
155000.E-01  5763.20E-03  1473.55E-07
160000.E-01  5862.77E-03  1545.92E-07
165000.E-01  5885.64E-03  0000.00E+00
170000.E-01  5885.64E-03  0000.00E+00
175000.E-01  5885.64E-03  0000.00E+00
180000.E-01  5885.64E-03  0000.00E+00
185000.E-01  5810.67E-03  0000.00E+00
190000.E-01  5832.99E-03  0000.00E+00
195000.E-01  5855.59E-03  0000.00E+00
200000.E-01  5966.05E-03  1874.66E-07
205000.E-01  6035.20E-03  1070.93E-07
210000.E-01  6070.09E-03  9534.00E-07
215000.E-01  5964.23E-03  0000.00E+00
220000.E-01  5800.02E-03  0000.00E+00
225000.E-01  5800.02E-03  0000.00E+00
230000.E-01  5800.02E-03  0000.00E+00
235000.E-01  6191.72E-03  0000.00E+00
240000.E-01  6372.59E-03  1220.84E-07
245000.E-01  6138.19E-03  2219.48E-10
250000.E-01  5988.98E-03  2288.99E-07
255000.E-01  5964.75E-03  0000.00E+00
260000.E-01  5964.75E-03  0000.00E+00
265000.E-01  6024.96E-03  5276.05E-08
270000.E-01  5945.11E-03  0000.00E+00
275000.E-01  5945.11E-03  0000.00E+00
280000.E-01  5945.11E-03  0000.00E+00
285000.E-01  5945.11E-03  0000.00E+00
290000.E-01  6128.66E-03  0000.00E+00
295000.E-01  6485.65E-03  0000.00E+00
300000.E-01  6179.34E-03  0000.00E+00
305000.E-01  6179.34E-03  0000.00E+00
310000.E-01  6179.34E-03  0000.00E+00
315000.E-01  6179.34E-03  0000.00E+00
320000.E-01  6175.58E-03  7793.67E-08
325000.E-01  6173.26E-03  0000.00E+00
330000.E-01  6202.45E-03  1366.47E-07
335000.E-01  6209.11E-03  2639.03E-08
340000.E-01  6242.66E-03  3762.43E-08
345000.E-01  6358.82E-03  6058.91E-07
350000.E-01  6436.08E-03  0000.00E+00
355000.E-01  6449.63E-03  0000.00E+00
360000.E-01  6462.80E-03  1195.74E-07
365000.E-01  6478.95E-03  0000.00E+00
370000.E-01  6478.95E-03  0000.00E+00
375000.E-01  6478.95E-03  0000.00E+00
380000.E-01  6478.95E-03  0000.00E+00
385000.E-01  6561.85E-03  6662.18E-07
390000.E-01  6910.87E-03  0000.00E+00
395000.E-01  6643.06E-03  5147.87E-07
400000.E-01  6162.48E-03  0000.00E+00
405000.E-01  5843.29E-03  0000.00E+00
410000.E-01  6057.52E-03  3424.20E-08
415000.E-01  6387.14E-03  0000.00E+00
420000.E-01  7405.18E-03  3870.24E-08
425000.E-01  6603.91E-03  0000.00E+00
430000.E-01  6296.30E-03  1440.81E-07
435000.E-01  6306.47E-03  1070.93E-07
440000.E-01  6155.57E-03  0000.00E+00
445000.E-01  5814.11E-03  2152.83E-06
450000.E-01  6122.36E-03  0000.00E+00
455000.E-01  5845.18E-03  1195.74E-07
460000.E-01  6220.60E-03  0000.00E+00
465000.E-01  6611.00E-03  0000.00E+00
470000.E-01  6202.51E-03  0000.00E+00
475000.E-01  5675.04E-03  2000.14E-07
480000.E-01  5409.21E-03  0000.00E+00
485000.E-01  4741.53E-03  0000.00E+00
490000.E-01  5211.98E-03  1274.06E-07
495000.E-01  6535.63E-03  1169.84E-07
500000.E-01  7798.81E-03  3271.84E-07
