====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Li   Energy = 8000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.23
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  261806.E-08  520139.E-08
100001.E-02  379692.E-08  929591.E-09
150001.E-02  304769.E-08  233042.E-08
200001.E-02  255794.E-08  147806.E-08
250001.E-02  307875.E-08  115597.E-06
300001.E-02  300393.E-08  216121.E-07
350001.E-02  217351.E-08  589272.E-08
400001.E-02  226332.E-08  265389.E-09
450001.E-02  150789.E-08  324283.E-08
500001.E-02  185650.E-08  166562.E-07
550001.E-02  339759.E-08  160990.E-08
600001.E-02  440368.E-08  352717.E-08
650001.E-02  403905.E-08  141330.E-07
700001.E-02  169661.E-08  217569.E-08
750001.E-02  267621.E-08  725938.E-07
800001.E-02  372596.E-08  533008.E-08
850001.E-02  417502.E-08  252999.E-08
900001.E-02  453532.E-08  228493.E-07
950001.E-02  576795.E-08  745914.E-08
100000.E-01  738416.E-08  416025.E-08
105000.E-01  386642.E-08  519029.E-09
110000.E-01  317776.E-08  596395.E-09
115000.E-01  289947.E-08  187958.E-08
120000.E-01  273978.E-08  556599.E-08
125000.E-01  242802.E-08  333378.E-08
130000.E-01  212070.E-08  895989.E-09
135000.E-01  219016.E-08  130292.E-08
140000.E-01  231872.E-08  194673.E-07
145000.E-01  277908.E-08  440449.E-07
150000.E-01  246414.E-08  277533.E-08
155000.E-01  362944.E-08  264611.E-08
160000.E-01  343094.E-08  329865.E-08
165000.E-01  247042.E-08  151911.E-08
170000.E-01  191123.E-08  500444.E-08
175000.E-01  242812.E-08  197473.E-08
180000.E-01  261047.E-08  152394.E-07
185000.E-01  212375.E-08  280136.E-08
190000.E-01  167783.E-08  128687.E-08
195000.E-01  190042.E-08  159636.E-07
200000.E-01  246626.E-08  121450.E-08
205000.E-01  206771.E-08  390267.E-08
210000.E-01  225091.E-08  815226.E-08
215000.E-01  164833.E-08  615839.E-09
220000.E-01  164212.E-08  718905.E-09
225000.E-01  142734.E-08  752005.E-08
230000.E-01  111991.E-08  810409.E-08
235000.E-01  191080.E-08  262127.E-07
240000.E-01  271290.E-08  445912.E-08
245000.E-01  291500.E-08  797666.E-08
250000.E-01  315423.E-08  114568.E-08
255000.E-01  317297.E-08  169343.E-08
260000.E-01  330499.E-08  409867.E-08
265000.E-01  270838.E-08  133873.E-08
270000.E-01  300421.E-08  244238.E-08
275000.E-01  412715.E-08  961998.E-09
280000.E-01  393301.E-08  117045.E-08
285000.E-01  238820.E-08  105819.E-07
290000.E-01  211147.E-08  167922.E-08
295000.E-01  234836.E-08  120401.E-07
300000.E-01  257940.E-08  113021.E-08
305000.E-01  346457.E-08  603363.E-08
310000.E-01  400489.E-08  660361.E-09
315000.E-01  330630.E-08  126084.E-08
320000.E-01  260587.E-08  615659.E-09
325000.E-01  221661.E-08  145105.E-08
330000.E-01  239689.E-08  329749.E-08
335000.E-01  246559.E-08  630642.E-08
340000.E-01  384501.E-08  183279.E-07
345000.E-01  275583.E-08  268321.E-08
350000.E-01  344545.E-08  177148.E-07
355000.E-01  383090.E-08  470873.E-08
360000.E-01  366180.E-08  275172.E-08
365000.E-01  305850.E-08  134278.E-08
370000.E-01  284427.E-08  800761.E-08
375000.E-01  200399.E-08  103360.E-08
380000.E-01  187001.E-08  358508.E-08
385000.E-01  236412.E-08  833053.E-08
390000.E-01  299522.E-08  349428.E-07
395000.E-01  275975.E-08  185673.E-08
400000.E-01  197783.E-08  221913.E-08
405000.E-01  203299.E-08  117398.E-08
410000.E-01  231317.E-08  733704.E-08
415000.E-01  155184.E-08  385231.E-08
420000.E-01  134826.E-08  159464.E-08
425000.E-01  148541.E-08  432759.E-08
430000.E-01  230451.E-08  448164.E-07
435000.E-01  383837.E-08  359516.E-08
440000.E-01  383423.E-08  612465.E-09
445000.E-01  280966.E-08  103928.E-07
450000.E-01  271283.E-08  377883.E-08
455000.E-01  221076.E-08  107042.E-07
460000.E-01  162230.E-08  117680.E-07
465000.E-01  272071.E-08  738977.E-08
470000.E-01  313082.E-08  279526.E-07
475000.E-01  378277.E-08  210288.E-08
480000.E-01  368448.E-08  758478.E-08
485000.E-01  362952.E-08  289923.E-08
490000.E-01  409642.E-08  139646.E-07
495000.E-01  318444.E-08  158716.E-07
500000.E-01  679552.E-08  158496.E-07
