====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 80000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  912741.E-10  199996.E-13
100001.E-02  927630.E-10  254547.E-10
150001.E-02  128279.E-09  571155.E-10
200001.E-02  108537.E-09  152821.E-09
250001.E-02  103038.E-09  337551.E-10
300001.E-02  998520.E-10  709197.E-11
350001.E-02  102242.E-09  934960.E-11
400001.E-02  991521.E-10  298094.E-10
450001.E-02  102172.E-09  711699.E-10
500001.E-02  681209.E-10  408256.E-09
550001.E-02  639071.E-10  000000.E+00
600001.E-02  619027.E-10  879765.E-10
650001.E-02  653495.E-10  157545.E-09
700001.E-02  105537.E-09  116120.E-09
750001.E-02  116634.E-09  107449.E-09
800001.E-02  742551.E-10  740505.E-10
850001.E-02  789816.E-10  148268.E-09
900001.E-02  126324.E-09  142797.E-09
950001.E-02  903846.E-10  138992.E-09
100000.E-01  114693.E-09  134319.E-09
105000.E-01  914161.E-10  115830.E-12
110000.E-01  889851.E-10  153577.E-10
115000.E-01  738881.E-10  532522.E-10
120000.E-01  723639.E-10  000000.E+00
125000.E-01  718310.E-10  346960.E-10
130000.E-01  709830.E-10  000000.E+00
135000.E-01  709830.E-10  000000.E+00
140000.E-01  709830.E-10  000000.E+00
145000.E-01  754540.E-10  300174.E-10
150000.E-01  768471.E-10  000000.E+00
155000.E-01  768471.E-10  000000.E+00
160000.E-01  100524.E-09  470369.E-10
165000.E-01  118575.E-09  000000.E+00
170000.E-01  118575.E-09  000000.E+00
175000.E-01  118575.E-09  000000.E+00
180000.E-01  118575.E-09  000000.E+00
185000.E-01  118575.E-09  000000.E+00
190000.E-01  115605.E-09  729336.E-09
195000.E-01  837715.E-10  000000.E+00
200000.E-01  857591.E-10  110913.E-09
205000.E-01  862459.E-10  215043.E-09
210000.E-01  845080.E-10  000000.E+00
215000.E-01  845080.E-10  000000.E+00
220000.E-01  819282.E-10  164922.E-09
225000.E-01  812076.E-10  000000.E+00
230000.E-01  812076.E-10  000000.E+00
235000.E-01  850973.E-10  232816.E-10
240000.E-01  131309.E-09  135909.E-09
245000.E-01  136154.E-09  000000.E+00
250000.E-01  136154.E-09  000000.E+00
255000.E-01  136154.E-09  000000.E+00
260000.E-01  156028.E-09  232428.E-09
265000.E-01  152699.E-09  356298.E-10
270000.E-01  144647.E-09  000000.E+00
275000.E-01  140764.E-09  113869.E-09
280000.E-01  139367.E-09  000000.E+00
285000.E-01  135505.E-09  202547.E-09
290000.E-01  201492.E-09  950354.E-10
295000.E-01  183999.E-09  112131.E-09
300000.E-01  150697.E-09  000000.E+00
305000.E-01  176462.E-09  225206.E-09
310000.E-01  157147.E-09  000000.E+00
315000.E-01  157147.E-09  000000.E+00
320000.E-01  145540.E-09  217847.E-09
325000.E-01  133395.E-09  000000.E+00
330000.E-01  133283.E-09  547370.E-10
335000.E-01  133002.E-09  263437.E-10
340000.E-01  127500.E-09  000000.E+00
345000.E-01  127500.E-09  000000.E+00
350000.E-01  127500.E-09  000000.E+00
355000.E-01  127500.E-09  000000.E+00
360000.E-01  127500.E-09  000000.E+00
365000.E-01  125698.E-09  197388.E-09
370000.E-01  125428.E-09  000000.E+00
375000.E-01  122683.E-09  222190.E-12
380000.E-01  117764.E-09  000000.E+00
385000.E-01  116239.E-09  986654.E-09
390000.E-01  107864.E-09  197388.E-09
395000.E-01  110764.E-09  490997.E-10
400000.E-01  113376.E-09  000000.E+00
405000.E-01  114174.E-09  137875.E-10
410000.E-01  113821.E-09  938396.E-10
415000.E-01  106881.E-09  817492.E-10
420000.E-01  120797.E-09  180230.E-09
425000.E-01  173954.E-09  983185.E-10
430000.E-01  249900.E-09  231630.E-10
435000.E-01  243302.E-09  158769.E-09
440000.E-01  178012.E-09  277157.E-09
445000.E-01  152227.E-09  121703.E-10
450000.E-01  130748.E-09  111353.E-08
455000.E-01  867662.E-10  183372.E-09
460000.E-01  623536.E-10  152922.E-09
465000.E-01  151496.E-09  294919.E-10
470000.E-01  123511.E-09  357831.E-09
475000.E-01  995612.E-10  242767.E-10
480000.E-01  815207.E-10  267853.E-09
485000.E-01  668400.E-10  793232.E-10
490000.E-01  950777.E-10  313661.E-08
495000.E-01  341176.E-09  255379.E-09
500000.E-01  249521.E-09  109456.E-08
