====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 60000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  624187.E-10  670802.E-12
100001.E-02  844196.E-10  788979.E-10
150001.E-02  128361.E-09  236935.E-10
200001.E-02  155012.E-09  792371.E-10
250001.E-02  197396.E-09  172527.E-09
300001.E-02  165900.E-09  339069.E-10
350001.E-02  166762.E-09  174209.E-10
400001.E-02  264580.E-09  162650.E-09
450001.E-02  415207.E-09  549873.E-11
500001.E-02  570385.E-09  188692.E-09
550001.E-02  984432.E-09  418051.E-09
600001.E-02  863891.E-09  101707.E-10
650001.E-02  439606.E-09  315436.E-09
700001.E-02  268058.E-09  976576.E-09
750001.E-02  104766.E-09  956512.E-10
800001.E-02  324958.E-09  525797.E-08
850001.E-02  113759.E-08  987428.E-10
900001.E-02  219639.E-09  143604.E-08
950001.E-02  278323.E-09  252300.E-09
100000.E-01  373097.E-09  523956.E-09
105000.E-01  454403.E-09  398289.E-13
110000.E-01  455372.E-09  000000.E+00
115000.E-01  455372.E-09  000000.E+00
120000.E-01  455372.E-09  000000.E+00
125000.E-01  423993.E-09  162849.E-09
130000.E-01  172165.E-09  000000.E+00
135000.E-01  172165.E-09  000000.E+00
140000.E-01  167997.E-09  126436.E-09
145000.E-01  155916.E-09  000000.E+00
150000.E-01  155916.E-09  000000.E+00
155000.E-01  154271.E-09  887143.E-10
160000.E-01  138335.E-09  000000.E+00
165000.E-01  138335.E-09  000000.E+00
170000.E-01  138335.E-09  000000.E+00
175000.E-01  138335.E-09  000000.E+00
180000.E-01  138335.E-09  000000.E+00
185000.E-01  138335.E-09  000000.E+00
190000.E-01  138335.E-09  000000.E+00
195000.E-01  138335.E-09  000000.E+00
200000.E-01  138335.E-09  000000.E+00
205000.E-01  138335.E-09  000000.E+00
210000.E-01  138335.E-09  000000.E+00
215000.E-01  138335.E-09  000000.E+00
220000.E-01  138335.E-09  000000.E+00
225000.E-01  138335.E-09  000000.E+00
230000.E-01  138335.E-09  000000.E+00
235000.E-01  138335.E-09  000000.E+00
240000.E-01  138335.E-09  000000.E+00
245000.E-01  138335.E-09  000000.E+00
250000.E-01  138335.E-09  000000.E+00
255000.E-01  138335.E-09  000000.E+00
260000.E-01  138335.E-09  000000.E+00
265000.E-01  138335.E-09  000000.E+00
270000.E-01  140889.E-09  162849.E-09
275000.E-01  160634.E-09  424546.E-08
280000.E-01  156850.E-09  149294.E-08
285000.E-01  152945.E-09  133495.E-10
290000.E-01  158954.E-09  375133.E-10
295000.E-01  193276.E-09  135920.E-09
300000.E-01  168335.E-09  806672.E-10
305000.E-01  150232.E-09  000000.E+00
310000.E-01  150232.E-09  000000.E+00
315000.E-01  150232.E-09  000000.E+00
320000.E-01  142577.E-09  503718.E-09
325000.E-01  118780.E-09  833833.E-11
330000.E-01  125917.E-09  000000.E+00
335000.E-01  125917.E-09  000000.E+00
340000.E-01  115480.E-09  162849.E-09
345000.E-01  103876.E-09  000000.E+00
350000.E-01  105732.E-09  729743.E-10
355000.E-01  106273.E-09  000000.E+00
360000.E-01  121219.E-09  587355.E-09
365000.E-01  178338.E-09  000000.E+00
370000.E-01  178338.E-09  000000.E+00
375000.E-01  160212.E-09  241560.E-09
380000.E-01  158701.E-09  000000.E+00
385000.E-01  158701.E-09  000000.E+00
390000.E-01  158701.E-09  000000.E+00
395000.E-01  158701.E-09  000000.E+00
400000.E-01  223002.E-09  385960.E-09
405000.E-01  248125.E-09  150783.E-09
410000.E-01  103333.E-09  279159.E-09
415000.E-01  960864.E-10  113299.E-10
420000.E-01  101432.E-09  137968.E-09
425000.E-01  117639.E-09  445061.E-10
430000.E-01  103648.E-09  167967.E-10
435000.E-01  109024.E-09  208835.E-09
440000.E-01  173287.E-08  209358.E-09
445000.E-01  659420.E-09  186176.E-09
450000.E-01  128554.E-09  000000.E+00
455000.E-01  143618.E-09  247085.E-09
460000.E-01  111767.E-09  469257.E-10
465000.E-01  115925.E-09  678580.E-09
470000.E-01  115132.E-09  429904.E-10
475000.E-01  845837.E-10  142161.E-09
480000.E-01  124420.E-09  253369.E-09
485000.E-01  136580.E-09  178812.E-09
490000.E-01  122128.E-09  188810.E-09
495000.E-01  262143.E-09  256980.E-09
500000.E-01  140633.E-09  227528.E-09
